department,title,date,link,context,images
경영대학,[국제] 유학생 취업 정주지원을 위한 비자 설명회,2024.11.20,https://ysb.yonsei.ac.kr/board.asp?act=view&mid=m06%5F01&cmid=m06%5F01&cid=0&eid=&bgn=&bid=7&sOpt=&pact=&mType=&mCourse=&mKisu=&tabidx=&hSel=&page=1&keyword=&uid=&idx=7964&ddx=0&sdx=0,,image\202411201433545243435937500.png
경영대학,[공통] 연세대학교 경영대학 대학원 회계전공 온라인 설명회 안내,2024.11.20,https://ysb.yonsei.ac.kr/board.asp?act=view&mid=m06%5F01&cmid=m06%5F01&cid=0&eid=&bgn=&bid=7&sOpt=&pact=&mType=&mCourse=&mKisu=&tabidx=&hSel=&page=1&keyword=&uid=&idx=7963&ddx=0&sdx=0,,image\202411200916493340962890625.jpg
경영대학,[학부] (기한연장) 2025학년도 1학기 송원김영환장학재단 장학생 선발 안내,2024.11.19,https://ysb.yonsei.ac.kr/board.asp?act=view&mid=m06%5F01&cmid=m06%5F01&cid=0&eid=&bgn=&bid=7&sOpt=&pact=&mType=&mCourse=&mKisu=&tabidx=&hSel=&page=1&keyword=&uid=&idx=7962&ddx=0&sdx=0,"2025학년도 1학기 송원김영환장학재단 장학생 모집 안내송원김영환장학재단에서 2025학년도 1학기 장학생을 다음과 같이 선발하오니,지원요건에 부합하는 경영학과 학생들의 지원 바랍니다.1. 추천 인원:경영대학 1명2. 장학금 지급액:500만원 (국가장학금, 교내장학금 중복수혜 가능)3. 추천 기준1) 소득분위 3분위 이하2) 2025학년도 1학기 2학년 진급예정자(현재 1학년 2학기 재학생)3) 평점 : 전체 평량평점 3.0/4.3 이상4) 학교 규정을 준수하고 교우관계에 문제 없는 학생4. 제출 서류1) 장학생 지원서 [붙임2] (※3번문항 자세히 작성 권장)2) 학자금 지원구간 통지서3) 지도교수 추천서 (※ 지도교수 : 자유양식 서명포함 제출 / 학과장 : scholarship.ysb@yonsei.ac.kr 메일 요청)4) 성적증명서 (※ 발급번호 명기된 성적증명서 유효)5) 수급자증명서 (※ 해당자에 한함)5. 제출 방법: 모든 서류를 하나의 PDF 파일로 병합하여 제출 (파일명: 2025-1 송원김영환장학재단_홍길동)※ 추천서 제외하여 제출하며 지원자 내 개별연락하여 학과장 추천서 발급 예정6. 제출 기한:2024.11. 25.(금) 오후 5시까지7. 제출 및 문의:scholarship.ysb@yonsei.ac.kr(02-2123-5455)",
경영대학,[학부] [미래에셋금융서비스] TAMS 글로벌금융인양성과정 13기 모집,2024.10.21,https://ysb.yonsei.ac.kr/board.asp?act=view&mid=m06%5F01&cmid=m06%5F01&cid=0&eid=&bgn=&bid=7&sOpt=&pact=&mType=&mCourse=&mKisu=&tabidx=&hSel=&page=1&keyword=&uid=&idx=7936&ddx=0&sdx=0,"글로벌 금융기업 미래에셋금융서비스에서 진행하는 대외활동 프로그램입니다.겨울방학 2주간 알찬 내용으로 구성된 본 과정을 통해 여러분의 무궁한 가능성과 멋진 비전을 찾아가세요.학점, 어학점수, 인턴경험 등 스펙을 배제하고 여러분의 가능성에 집중하여 선발합니다!□ 모집대상- 현재 3학년 1학기 이상 재학생, 휴학생, 졸업생.- 1차(25년 1월중 2주) 100명, 2차(25년 2월중 2주) 100명 선발 예정- 부산(25년 1월말 2주) 100명 선발 예정□ 지원일정- 지원기간 : 2024년 10월 28일(월) ~ 11월 29일(금)- 서류 합격자 발표 : 2024년 12월 2일(월)- 최종면접 : 2024년 12월 중순- 최종 합격자 발표 : 2024년 12월 말(홈페이지 공지)□ 교육기간 (주중만) *3차수 중 택1- 1차 : 2025년 1월초 2주간- 2차 : 2025년 2월초 2주간- 부산 : 2025년 1월말 2주간□ 교육장소(변동 가능)- 강남 GT TOWER : 서울 서초구 서초대로 411- 부산 BEXCO : 부산 해운대구 APEC로 55□ 교육내용 : 미래에셋 그룹 성장 스토리, 글로벌 금융시장 트렌드, 주식/채권/보험/부동산 등 포트폴리오 관리, 금융 프로세스 이해, 현직 선배와의 대화, 비즈니스매너, 팀 과제 수행 등.* 수료 시, 수료증과 소정의 수료비 지급.■ 사전신청 :-http://miraeassetfptams.com(위 링크를 클릭하면 사전신청 페이지로 연결됩니다.)- 010. 7266. 9772 (서태환 매니저) SMS로 (이름, 학교, 학과, 학년) 전송* 사전신청 시, 실무자 멘토링(지원서 첨삭, 면접코칭 등) 혜택과 서류전형 가산점을 드립니다.□ 관련문의 : 서태환 매니저(010-7266-9772)",image\202410211118104069062109375.png
경영대학,[석박사] 2025년 전기 일반대학원 석박사과정 신입생 모집 (추천서 안내 포함),2024.09.24,https://ysb.yonsei.ac.kr/board.asp?act=view&mid=m06%5F01&cmid=m06%5F01&cid=0&eid=&bgn=&bid=7&sOpt=&pact=&mType=&mCourse=&mKisu=&tabidx=&hSel=&page=1&keyword=&uid=&idx=7889&ddx=0&sdx=0,"연세대학교 경영대학에서 2025년 전기 (3월 입학)일반대학원 신입생을 모집합니다. (석사·박사·석박통합과정)[2025년 전기 모집일정]지원절차일정입학원서 접수2024. 10. 8.(화) 10:00 ~ 10. 16.(수) 17:00마감구술시험 대상자 발표2024. 11. 8.(금) 17:00구술시험2024. 11. 16.(토)최종 합격자 발표2024. 12. 6.(금) 17:00■ 원서 접수: 연세대학교 일반대학원 홈페이지 (연세대학교 대학원 (yonsei.ac.kr) 온라인 접수■ 입시 안내 및 모집요강 다운로드 페이지- 일반전형:대학원 | 입학안내 | 일반전형 | 전기 - 일반전형 (yonsei.ac.kr)- 외국인전형:대학원 | 입학안내 | 외국인전형 | 전기 - 외국인전형 (yonsei.ac.kr)[일반전형(군위탁전형 포함) 추천서 제출 안내]■ 일반전형(군위탁전형 포함) 추천서 제출 안내- 본 공지는 일반전형(군위탁전형 포함) 지원자를 위한 공지입니다.- 출신대학 교수 추천서 1부는 경영학과 일반전형 필수제출서류입니다.■ 추천서 제출 방법: 온라인 추천서 제출- 지원자가 원서접수 기간 내에 원서접수시스템 내 '내 원서 > 추천서 요청' 메뉴에서 추천자의 이메일을 입력하면 추천자의 이메일로 추천서제출 링크가 발송됨. 추천자는 원서접수 기간 내에 링크에 접속하여 추천서를 입력하여야 함. (원서접수 첫날 온라인 추천서 제출을 미리 준비하시기 바랍니다. 다른 입력사항을 중간 저장한 후에 추천서 요청을 할 수 있습니다.)- 추천자는 지원자가 보낸 링크에 접속하여 기본 질문(첨부 양식)에 대한 내용을 입력하거나, 또는 미리 작성한 추천서 파일(자유양식)을 업로드할 수 있습니다. ※ 영어 안내도 제공됩니다.(영어로 작성 가능)- 본인이 직접 입시 마감시까지 접수사이트에서 추천서 제출 여부 확인 가능합니다.■ 접수 시스템 관련 문의: 에이펙스소프트(070-4327-9791, help@apexsoft.co.kr)- 부득이한 경우에 한하여 학과의 사전승인을 받고 ""밀봉된"" 교수추천서를 해당 학과로 직접 인비로 제출할 수 있으나 되도록 지양해 주시기 바랍니다. 직접 제출이 필요한 경우 성명/수험번호/지원전공/지원과정/사유 를 기재한 이메일을 원서접수 기한(원서접수기간)내에 미리 msphd.ysb@yonsei.ac.kr 로 발송해주시기 바랍니다.- 접수기간 내 추천서 미제출로 인한 불이익에 대한 책임은 지원자 본인에게 있습니다.■ 문의 경영대학 행정팀 (msphd.ysb@yonsei.ac.kr)a",
경영대학,[학부] 2024-2학기 학부 프린트 지원 안내,2024.08.29,https://ysb.yonsei.ac.kr/board.asp?act=view&mid=m06%5F01&cmid=m06%5F01&cid=0&eid=&bgn=&bid=7&sOpt=&pact=&mType=&mCourse=&mKisu=&tabidx=&hSel=&page=1&keyword=&uid=&idx=7855&ddx=0&sdx=0,"2024학년도 2학기 학부 프린트 지원 안내※프린트 사용 안내 메일은 해당자에게 추후 발송 예정입니다. (~9/7)■ 지원 대상 :경영학과 ""1전공"" 2~4학년 재학생 (초과학기생은 10학점 이상 수강시 지원)■ 지원 금액 :학기당 15,000원 (흑백 단가 50원, 컬러 단가 300원)■ 사용 기간 :2024년 9월 - 12월■ 사용 안내 :- ID 및 사용 방법 안내는 포탈에 등록된 이메일로 발송할 예정입니다.- 해당 ID는 연세대학교 내 모든 생협복합기에서 사용 가능하며, 계정도용방지를 위해 메일을 받으신 후반드시 비밀번호를 변경하시기 바랍니다. (미변경으로 인한 책임은 해당 학생에게 있습니다.)- 지원금액 초과 사용분은 개인에게 청구됩니다.- 문의: 경영대학 행정팀 (scholarship.ysb@yonsei.ac.kr)",
경영대학,"[공통] 연세경영_세계대학 평가순위, 경영교육 국제인증, MBA 모집안내",2024.08.23,https://ysb.yonsei.ac.kr/board.asp?act=view&mid=m06%5F01&cmid=m06%5F01&cid=0&eid=&bgn=&bid=7&sOpt=&pact=&mType=&mCourse=&mKisu=&tabidx=&hSel=&page=1&keyword=&uid=&idx=7844&ddx=0&sdx=0,,image\202408231845276752767968750.jpg
경영대학,[석박사] 2024-2학기 학위논문 심사 일정 및 논문 심사위원 명부 제출 안내,2024.08.20,https://ysb.yonsei.ac.kr/board.asp?act=view&mid=m06%5F01&cmid=m06%5F01&cid=0&eid=&bgn=&bid=7&sOpt=&pact=&mType=&mCourse=&mKisu=&tabidx=&hSel=&page=1&keyword=&uid=&idx=7830&ddx=0&sdx=0,"학위 논문 심사절차는 이전학기(2024-1학기)까지 어학시험과 종합시험을 통과한 재학생만 진행 가능합니다.★모든 과정에 기한 엄수하시기 바랍니다. 기한 연장이 불가합니다★0. [학위 논문 심사 진행 절차]연구계획서/심사위원 명부 제출 → 학위논문 예비심사 → 학위논문 본심사 → 논문 제출- 학위논문 심사는 위의 절차대로 진행됩니다. 이전 절차가 완료되지 않았을 경우 다음 절차를 진행할 수 없습니다.- 이전 학기에 완료하신 절차 이후부터 진행하시면 됩니다.e.g. 이전 학기에 예심까지 통과한 경우 이번학기엔 본심부터 진행하면 됨.1-1. [연구계획서 제출]  2024.8.16(금) ~ 9.13.(금)- 2024-1학기까지 어학시험 및 종합시험을 합격한24-2학기 재학생만 연구계획서 제출 가능(휴학생 불가)- 연세포탈 > 학사행정 > 졸업 > 연구계획서 제출 (첨부2. 매뉴얼 참조)-연구계획서 제출 후 학사포탈에서 지도교수님이 승인 하신뒤에 학과에서 승인절차가 진행됩니다.(첨부3 매뉴얼 참조)박사(통합)과정은 영문 작성이 원칙이며, 국문 작성을 원하는 경우 국문작성승인 신청서를 별도 제출해야 합니다.(9.13(금)까지 첨부5 파일 작성하여 메일로 제출)1-2.[심사위원 명부 제출] 2023.8.16.(금) ~ 9.13.(금)- 심사위원은 석사과정 3명, 박사과정 5명 선정-학사포탈에서 입력 (학과에서 연구계획서 승인 후 입력 가능)-박사과정은 '지도교수만 입력', 연구계획서 제출한 학기의 다음학기부터 심사위원 등록 가능- 외부심사위원은 석사과정 최대 1명, 박사과정 최대 2명까지 선정 가능(외부심사위원이란? 연세대학교 본교 전임교원이 아닌 심사위원)2. [학위논문 예비심사] 9.27.(금) ~ 10.25.(금)- 예비심사 보고서(평가지) 양식을 9.26.(목)부터 이메일로 배부- 심사위원분들과 일정을 조율하여 예심 진행- 심사 후 예심 보고서를10월 25일(금) 오후 4시까지406호 행정실(또는 이메일)로 제출3. [학위논문 본심사] 11.15.(금) ~ 12.20.(금)- 본심사 보고서(평가지) 양식을 11.14.(목)부터 이메일로 배부- 심사위원분들과 일정을 조율하여 본심 진행- 심사 받은 보고서를12월 20일(금) 오후 5시까지406호 행정실(또는 이메일)로 제출- 본심사 2회 이상 불합격 시 졸업 불가4. [논문 제출]- 심사를 마친 학생은 학술정보원으로 최종 학위논문 제출- 온라인 제출(예정): 2024.12.30.(월) ~ 2025.1.3.(금)- 인쇄본 제출(예정): 2025.1.6.(월) ~ 2025.1.13.(월)※ 온라인 제출 시 인준서 페이지의 심사위원 서명은 필수는 아니나 심사위원명은 반드시 기재※ 인쇄본(책자) 논문은 심사위원 전원이 날인/서명한 인준서 원본 1부(필수)와 사본 3부 제출- 제출 방법 등은 해당 기간에 대상자에게 개별 안내메일 드릴 예정입니다.◈ FAQ- 학술정보원으로 최종 학위논문을 제출하지 않는 경우 졸업이 다음학기로 자동 연기됩니다.(즉, 본심까지 합격했지만 졸업유예를 원하면 온라인/인쇄본 제출 안 하시면 됩니다.)- 졸업을 원하는 학기의 논문 제출기간에 논문을 제출하면 졸업할 수 있습니다.단, 학기 등록을 하여 재학 중인 상태에서만 논문 제출이 가능합니다(기본 585,600원의 등록금 납부).- 졸업을 연기했어도 다음학기에 본심사를 다시 진행할 필요 없습니다(본심사 결과는 유지됩니다).- 학위논문 작성 양식은 첨부파일 및 일반대학원 홈페이지 학사안내 및 다운로드(바로가기)를 확인하세요.서류 제출처 및 문의: msphd.ysb@yonsei.ac.kr",
경영대학,[공통] 연세대학교 경영전문대학원 2025학년도 MBA 입시조교 모집,2024.07.31,https://ysb.yonsei.ac.kr/board.asp?act=view&mid=m06%5F01&cmid=m06%5F01&cid=0&eid=&bgn=&bid=7&sOpt=&pact=&mType=&mCourse=&mKisu=&tabidx=&hSel=&page=1&keyword=&uid=&idx=7814&ddx=0&sdx=0,"연세대학교 경영전문대학원에서 2025학년도 MBA 입시 진행을 도와주실 입시 조교분을모집하오니 근무를 희망하시는 분들께서는 아래 링크로 접속하셔서 신청 부탁드립니다.ㆍ신청 링크 :https://mba.yonsei.ac.kr/rsvp.asp?uid=23631) 모집인원 : 0명2) 지원자격: 본교 학부/대학원 재학생, 휴학생, 최근 2년 이내 졸업생(2024, 2023학년도 졸업자)3) 근무 기간 : 2024.9.2.(월)~2025.1.3.(금) 약 4달 간 (구체적인 근무 시간은 선발 후 협의)※ 상기 근무 기간 외 8.28.(수) MBA 입학설명회 지원업무가능하신 분 우선 선발4) 근무 시간(타임1) 월/화/목 : 09:00 – 13:30 4시간(휴게시간 30분)(타임2) 월/화/목 : 13:00 – 17:30 4시간(휴게시간 30분)(타임3) 월/화/목 : 17:00 – 21:30 4시간(휴게시간 30분)(타임4) 수/금 : 09:00 – 13:30 4시간(휴게시간 30분)(타임5) 수/금 : 13:00 – 17:30 4시간(휴게시간 30분)※ 상기 신청 링크에서 본인이 요일별로 근무 가능하신 시간을 모두 표시할 것※ 표시하신 시간은 전 근무기간에 근무 가능하셔야 합니다.※ 최소 주간 12시간 근무 가능하셔야 합니다.※ 선발 후 최종 근무 시간표 작성 예정입니다.5) 근무 장소 : 연세대학교 신촌캠퍼스 경영대학 경영관 4층 406호 행정팀6) 담당업무 : 입학 상담 전화 응대, 메일 확인, 제출 서류 확인 작업, 기타 입시 관련 행정 지원7) 시급 : 1만 원(식사 미제공, 휴게시간은 시급 미포함)8) 인건비 지급형태 : 월별 정산 (기타소득 세금 공제 후 지급)※ 8.28.(수) 입학설명회 근무 건은 인건비 별도 지급9) 신청기한 : 채용 공고 게시일 ~8.23.(금) 17시까지 상기 신청링크에서 접수10) 선발 결과 : 8.26.(월) 17시 선발 결과 전체 안내(문자 및 메일) 예정입니다.11) 지원 문의 : amba.ysb@yonsei.ac.kr (이메일 문의만 받습니다.)",
경영대학,[석박사] 2024학년도 2학기 대학원 휴학 및 복학 신청 및 학적 관련 안내,2024.07.10,https://ysb.yonsei.ac.kr/board.asp?act=view&mid=m06%5F01&cmid=m06%5F01&cid=0&eid=&bgn=&bid=7&sOpt=&pact=&mType=&mCourse=&mKisu=&tabidx=&hSel=&page=1&keyword=&uid=&idx=7788&ddx=0&sdx=0,"2024학년도 2학기 대학원 휴학 및 복학 신청 및 학적 관련 안내가. 신청 및 승인 기간구분학생 신청기간학과 승인기간신청 및 승인 절차휴학미등록자8. 1. (목) 00:00 ~ 9. 15. (일) 23:59신청기간 동안 수시 승인학생신청(학사포탈)학과승인대학원승인등록자8. 1. (목) 00:00 ~ 11. 14. (목) 23:59*질병, 출산사유는 12. 2. (월)까지 신청 가능복학1차7. 15. (월) 00:00 ~ 8. 15. (목) 23:598. 16. (금)까지수시 승인2차8. 16. (금) 00:00 ~ 8. 27. (화) 23:598. 28. (수)까지 수시 승인3차8. 28. (수) 00:00 ~ 9. 3. (화) 23:599. 4. (수)까지수시 승인* 일부 경우를 제외하고, 복학 신청은 별도 절차 없이 자동으로 승인 (붙임 1 참고)** (중요)외국인 학생 비자 발급을 위한 표준입학허가서는1차 및2차 복학 신청 기간 내에 복학 신청을 해야 발급 가능붙 임 1. 2024-2 휴학 복학 신청 및 학적 관련 안내(Guidance on Leave of Absence, Reinstatement and other Academic Records) 1부.2. 휴학 복학 관련 매뉴얼 각 1부.3. 휴학원서(Application Form for Leave of Absence) 1부.4. 복학원서(Application Form for Reinstatement) 1부.5. 취소원(Application Form for Cancellation) 1부.",
