department,title,date,link,context,images
공과대학,연세대학교 장학금 안내,2024.08.09,https://engineering.yonsei.ac.kr/engineering/board/notice.do?mode=view&articleNo=208490&article.offset=0&articleLimit=10,,"image\fxbTShwcfNXwkPBjUxED.jpg, image\zimeRuuFpOFzaFhWeduJ.jpg, image\GPJHLNaHYRmLvQeVbGrs.jpg, image\rvChJbJrdgulLmbiukeM.jpg, image\RGxICVKENVVIJYeLrXzf.jpg, image\ddPZJsUSSmzVFZlfWGoV.jpg, image\yRtmRPxQuIyIjdsNMvHK.jpg, image\aTkZGUMesqtOnJAbgAAR.jpg"
공과대학,2024학년도 2학기 학부 휴학 및 복학 신청 일정 안내,2024.06.13,https://engineering.yonsei.ac.kr/engineering/board/notice.do?mode=view&articleNo=191458&article.offset=0&articleLimit=10,2024학년도 2학기 학부 휴·복학 신청 일정을 참고하여 주시기 바랍니다.2024학년도 2학기 휴학·복학 주요 일정[복학]승인 차수신청 및 승인 기간비고1차7. 15.(월) ~ 8. 16.(금)승인 차수에 따라 수강신청 일정이 다름2차8. 17.(토) ~ 8. 27.(화)[일반 휴학]승인 차수신청 및 승인 기간비고1차8. 1.(목) ~ 9. 15.(일) 휴학 승인시점별 수업료 반환율 적용 11. 14.(목) 일반휴학 신청 마감2차9. 16.(월) ~ 11. 14.(목)3차11. 15.(금) ~ 12. 2.(월) 질병·출산·천재지변·법적조치 사유에 해당할 경우에 한하여신청 가능함[입대휴학]승인 차수신청 및 승인 기간비고1차8. 1.(목) ~ 9. 15.(일) 9. 15.(일) 이후 입대하는 자는 일반휴학을 우선 신청하고 추후 입대    휴학을 추가로 신청해야 등록금 납부 없이 신청 가능2차9. 16.(월) ~ 11. 14.(목)3차11. 15.(금) ~ 2025. 1. 31.(금) 11. 15.(금)부터 입대하는 학생은 입영일 1주일 전부터 입영일 전까지 신청 가능,
공과대학,ABEEK 인증 관련 확인서 안내,2023.11.21,https://engineering.yonsei.ac.kr/engineering/board/notice.do?mode=view&articleNo=178217&article.offset=0&articleLimit=10,졸업생abeek 인증 관련 안내abeek인증의 경우 본인의 졸업증명서에 나와있는 전공명(OO전공심화)과 학과별 확인서에 기재된 전공명(OO전공심화)과 일치할 때 abeek과정을 이수하였다고 간주합니다.증빙 제출시졸업증명서와 첨부된 학과별 abeek인증확인서를 함께 제출하시면 abeek과정 이수 증빙이 됩니다.문의사항 학과사무실 및 공학교육혁신센터(02-2123-5730),
공과대학,폐기물 처리 절차,2021.12.13,https://engineering.yonsei.ac.kr/engineering/board/notice.do?mode=view&articleNo=132604&article.offset=0&articleLimit=10,"최근 교내 폐시약, 폐액과 관련한 연구실 내 안전사고가 빈번히 발생하고 있습니다. 이에, 실험유해폐기물 취급 및 처리 관련 안내사항을 안내드리오니 연구실에서 발생되는 폐기물관리에 만전을 기하여 주시기 바랍니다.1. 실험유해폐기물 주의사항 및 분류기준■ 실험유해폐기물 처리 시 주의 사항- 실험자는 MSDS를 통해서 폐기할 각종 폐기물의 처리 방법을 숙지한 후 폐기 요청- 액상폐액은 성상별(산/염기/무기/유기)로 분리하여 폐액통에 보관 후 처리- 폐시약(원액)은 폐액통에 폐기하지 않고, 시약병에 담긴 그대로 폐기처리 요청- 고상폐기물은 비닐 봉투에 내용이 보이게 담아 보관 후 처리- 의료폐기물은 전용용기에 담아 보관 후 처리- 폐기물 처리 시 안전보호구 필수 착용■ 실험유해폐기물의 분류기준구 분기 준종 류폐 산수소이온 농도지수(pH 2.0 이하)질산, 황산, 염산 등폐알카리수소이온 농도지수(pH 12.5 이상)NaOH용액, KOH용액 등유기용제솔벤트, 시너 등 액체상태의 유기물알콘, 아세톤, IPA, 벤젠 등무기물질유해물질 함유 폐기물폐촉매, 광재, 폐흡착제 등폐시약시약 원액, 물질명이 불상인 화학약품시약 원액, 라벨이 지워진 화학약품 등고상폐기물화학물질에 오염된 고상폐기물시약공병, 오염된 장갑 등의료폐기물조직물류, 병리계, 손상성 폐기물 등동물조직 및 사채, 혈액생성물, 배양액 및 용기, 폐배지, 폐시험관, 주사바늘 등■ 서로 혼합해서는 안되는 화학물질※ 화학물질을 사용하기 전에 그 물질에 대한 특성을 반드시 숙지하기 바랍니다.AcidsinorganicAcidsoxidizingAcidsorganicAkalis(bases)OxidizersPoisonsinorganicPosionsorganicWater-reactivesOrganicsolventsAcidsinorganicXXXXXXAcidsoxidizingXXXXXXAcidsorganicXXXXXXXAkalis(bases)XXXXXXOxidizersXXXXPoisonsinorganicXXXXXXPosionsorganicXXXXXXWater-reactivesXXXXXXOrganicsolventsXXXXXX = 서로 혼합하거나 같이 보관해서는 안 되는 물질들2. 지정폐기물 폐기 분류기준 및 협조사항■ 지정폐기물 분류 기준분류항목처리용기비고TYPE 1폐시약박스 포장원액용기 그대로 위탁1박스 : 20kg 이내TYPE 2폐 액전용 말통(학교 지급)산–흰색, 유기계–회색염기–파랑, 무기계-검정TYPE 3빈시약병, 바이알, 앰플투명/흰색 봉투잔여물 완전 제거 후 폐기,빈시약병은 잔여물 있을 시 폐시약으로 처리TYPE 4초자기구류(비이커, 스포이드, 메스실린더, 뷰렛, 기타유리류)투명/흰색 봉투잔여물 완전 제거 후 폐기TYPE 5그 외 고상폐기물(와이퍼, 장갑, 휴지, 플라스틱 등)투명/흰색 봉투-※ 지정폐기물이 분류 기준에 맞지 않는 경우“폐기물 분류 재요청”스티커 부착 예정이며, 분류가 완전히 확인된 후에 최종수거 함.■ 협조사항1) 배출되는 모든 폐기물은 물로 세척 후 건조하여 잔여물 없이 배출해야 합니다.2) 주사기 바늘은 의료폐기물 전용용기(플라스틱통)에 폐기하여 처리하여 주시기 바랍니다.3) 할로겐족(염소, 브롬, 요오드 등) 물질은 반드시 원액용기 그대로 위탁처리 신청하여 주시기 바랍니다.■ 문의처 : 시설처 설비안전팀(환경관리실 #4801, 사무실 #2176)3. 시설수리, 폐기요청에 대한 신청 안내각 학과별로 분리하여 신청하던 시설수리 폐기요청 처리를 전자우편으로 일괄접수하고, 교원, 학생 등 공대 구성원들이 보다 편리하고 신속하게 관련 업무를 처리할 수 있도록 하였습니다.첨부된 시설수리 요청 양식을 기입한 후메일(repair@yonsei.ac.kr)로 신청하시기 바랍니다.<시설수리신청서 내용 설명>※ 아래 항목 모두 기입해주세요. (붙임서식)항 항목별 예시는 첨부화일의 전체수리요청내역리스트를 참조하시기 바랍니다.항목기재시 ""ex)예시항목"" 삭제 후 기재1) 수리유형 : ex) 건축, 전기 ...2) 수리구분 : ex) 천장, 벽체, 형광등, 콘센트.....3) 수리내용 : ex) 천장재 교체, 수리 ......4) 건물명 : ex) 제1공학관, 제2공학관 3공학관....5) 층수 및 호실 (호실표기시 호실앞 영문은 반드시 표기해야함)6) 상세내용- 수리대상 및 고장증상 :* 폐기물의 경우 용량 표시- 담당자 및 연락처(교내/ 휴대전화) :■ 첨부사진이 있는경우 첨부화일명에 층수와 호실을 포함하여 보내주시기 바랍니다.■ 수리요청처리현황에 대한 문의는 공과대학 행정2팀 담당자(구내 2845)로 해주시기 바랍니다.",
공과대학,[해동과학문화재단] 2025년도 해동장학생 선발 모집 안내,2024.11.26,https://engineering.yonsei.ac.kr/engineering/board/notice.do?mode=view&articleNo=215687&article.offset=0&articleLimit=10,"[해동과학문화재단] 2025년도 해동장학생 선발 모집 안내]1. 제출 방법 및 기한2025년 1월 7일(화)까지공과대학 장학담당자 메일(HJ07@YONSEI.AC.KR)로 제출*기한 엄수, 시간 외 제출 불가2. 메일 제목해동과학문화재단_학과명_학번_이름",image\OeZOQhykzikiqSTeJjVy0.png
공과대학,[화학바이오ISC] 2024년 화학바이오산업 온라인 일자리 박람회 개최 안내,2024.11.19,https://engineering.yonsei.ac.kr/engineering/board/notice.do?mode=view&articleNo=215341&article.offset=0&articleLimit=10,"화학·바이오ISC는 고용노동부와 한국산업인력공단의 지원을 받아 운영되는화학 및 바이오 분야의 인적자원개발기구입니다.화학·바이오ISC는 화학·바이오분야 포털 플랫폼 켐바이오넷(https://chembio.or.kr)을 운영하고 있으며,켐바이오넷을 통해 채용정보, AI기반 직무추천 및 매칭 시스템, 직무능력평가 등 화학·바이오산업에 필요한 여러 정보를 제공하고 있습니다.이에화학·바이오ISC에서는 켐바이오넷을 활용하여아래와 같이 화학 및 바이오분야 기업 및 취업준비생을 대상으로2024년 화학바이오 산업 온라인 일자리 박람회를 개최하고자 하오니, 많은 관심과 참여 바랍니다.-        아        래        -□ 행사명: 2024년도 화학바이오산업 온라인 일자리 박람회□ 주관:화학·바이오산업인적자원개발위원회(화학·바이오ISC)□ 세부일정구분일정대상참가기업 채용공고 등록2024. 11. 18.(월) ~ 2024. 12. 19.(목)참가희망기업온라인 일자리 박람회2024. 12. 02.(화) ~ 2024. 12. 19.(목)켐바이오넷 기업회원 및 일반회원결과 취합2024. 12. 20.(금) ~□ 개최방식:온라인 개최(켐바이오넷URL :https://chembio.or.kr)※ KBS-2FM, KBS-2R 라디오광고 예정(11.18. ~ 12.17.)□ 진행절차○ 참가기업 채용공고 등록(11. 18. ~ 12. 19.)- 켐바이오넷 기업회원 가입- 켐바이오넷 홈페이지 내“마이페이지 – 이벤트채용공고관리 – 이벤트 채용공고등록”○ 온라인 일자리 박람회 진행(12. 02. ~ 12. 19.)- 등록한 채용공고 활성화 및 지원 가능- 채용공고 추가 등록 가능※ 채용 일정은 기업별 상황에 따라 자체 설정□ 문의:화학·바이오산업인적자원개발위원회 교육훈련운용팀 박호빈 연구원○ 02-540-5146 / phb@chem-bio.net",
공과대학,제23회 연세치의학 학술대회(치대-공대-의대 공동 심포지엄) 개최 안내,2024.11.18,https://engineering.yonsei.ac.kr/engineering/board/notice.do?mode=view&articleNo=215266&article.offset=0&articleLimit=10,,"image\rAYlHNmGSIBEKEyBDqNs0.png, image\OWbiekqzHXDNmiviMVpN0.png"
공과대학,[서울시&KIST] 서울퀀텀캠퍼스 양자기술 산업전문과정(5일과정) 교육생 모집,2024.11.14,https://engineering.yonsei.ac.kr/engineering/board/notice.do?mode=view&articleNo=215096&article.offset=0&articleLimit=10,"<문의처 : 서울퀀텀캠퍼스 운영사무국 담당자 김승미 선임 02-3274-9248,sqc@kma.or.kr>1.  신청기간 : 2024. 11. 5.(화) 10:00 ~11.27.(수) 16:00 까지※ 분야별 2배수 신청시 조기 마감 예정2.  지원자격 : 모집공고일 기준 서울시민 또는 서울 소재 대학·기관·기업에 소속된 자로,양자 기술 적용 및 사업화를 희망하는 기업 임직원, 대학(원)생, 엔지니어, 연구진 등3.  모집분야 :양자컴퓨팅 분야, 양자통신·센서 분야4.  모집규모 : 총 62명/ 양자컴퓨팅(27명), 양자통신·센서 분야(35명)5.  교육개요 :• (양자컴퓨팅) 회로 설계, 알고리즘 구축 설례, 실습, 사업화 사례 등• (양자 통신·센서) 통신·센서 응용 기술, 랩투어, 기술사업화 교육 등6.  교육기간 :'24. 12. 9.(월) ~ 12. 13.(금) 09:30 ~ 17:00 / 5일 과정7.  교육장소 : 서울바이오허브 산업지원동(서울 동대문구 회기로 117-3)8.  신청방법 :신청서식 다운로드 후 작성하여 온라인 제출구 분내 용제출서류(필수) 지원신청서, 개인정보수집‧이용 동의서 (선택) 포트폴리오※ 제출방법 : 신청 등록 시 업로드(최종합격자) 지원자격 증빙서류 : 주민등록등본, 재직증명서 등※ 제출방법 : 개강 이후 안내신청안내한국과학기술연구원 홈페이지 (https://www.kist.re.kr) > 공지사항또는 서울특별시 누리집 (www.seoul.go.kr)> 새소식 > 경제‘2024년 서울퀀텀캠퍼스 산업전문과정 교육생 모집공고’ 클릭신청링크구글폼 작성(https://forms.gle/rkBtUdNnfsGiUotu9)※ 시스템은 ‘24.11.5.(화) 10:00 개시, ’24.11.27.(수) 16:00 마감[양자컴퓨팅 과정][양자 통신·센서 과정]","image\9d0c2530-a088-11ef-868a-dd35df501aaf, image\a89893b0-a089-11ef-868a-dd35df501aaf, image\fb922f40-a089-11ef-868a-dd35df501aaf"
공과대학,2024년도 연세대학교 산업기술연구소 전문연구요원 선발 공고,2024.11.11,https://engineering.yonsei.ac.kr/engineering/board/notice.do?mode=view&articleNo=214861&article.offset=0&articleLimit=10,"연세대학교 산업기술연구소 전문연구요원 선발 공고1.채용인원- 전문연구요원 1 명2. 지원자격- 자연계 석사 이상 학위를 취득한 사람(석·박사 학위과정이 통합된 과정을 수료한 사람 포함)3. 제출서류- 신규편입신청서 (첨부파일)- 업무연관확인서 (첨부파일)- 자기소개서 (자유양식)- 이력서 (자유양식)- 지도교수 추천서 (자유양식)- 최종학위증명서 및 성적증명서 (학사 포함)- 공인어학성적 (TEPS, TOEIC, TOEFL 중 택1)- 개인정보 활용 제공 동의서 (첨부파일)4. 접수기간 및 방법- 접수기간 :2024. 10. 23. (화) ~ 2024. 11. 25. (월) 오후 5시접수마감- 접수방법 : email 접수 ysyoon@yonsei.ac.kr* 서류 심사 후 면접 진행5. 면접 전형 일정:  12월 중 예정 (서류 전형 합격자에 한해 시간 개별 통보)- 문의사항은 전자우편(e-mail)으로 연락 바랍니다.-관련 원문 링크 바로가기",
공과대학,2024 연세의료원 빅데이터 챌린지 사전교육 안내,2024.11.08,https://engineering.yonsei.ac.kr/engineering/board/notice.do?mode=view&articleNo=214731&article.offset=0&articleLimit=10,사전등록 바로가기(클릭)챌린지 신청 바로가기(클릭),image\rqTMBCHvPhqYguhApgAQ0.jpg
