department,title,date,link,context,images
문과대학,[학부/장학] 2025학년도 12기 운해장학재단 장학생 추천,2024.12.02,https://libart.yonsei.ac.kr/libart/board/notice.do?mode=view&articleNo=215912&article.offset=0&articleLimit=10,1.문과대학: 8명2. 장학금액: 800만원/연 (생활비성 장학금)3. 선발 조건1) 직전학기 평량평균 4.0/4.5 이상2) 소득분위가 낮은 학생3) 2024-2학기  4학년 학생 제외4. 제출 서류1) 붙임1  지원서 1부._총장직인은 학생지원팀에서 날인할 예정임)2)  성적증명서 1부.3) 과세증명서 또는 미과세증명서 1부4) 가족관계증명서 1부 .)주민등록번호 뒷자리 마스킹)5) (해당자) 한국장학재단 소득 구간(분위) 통지서 1부.6) (해당자) 수급자 증명서 1부5. 제출 기한: 2024년 12월 16일(월) 오전 10시까지6. 제출 방법:서류 1)~6) 서류를 PDF 1개 파일로 제출 (파일명: 운해장학재단 지원 _학과_이름)7. 제출처: 문과대학 행정팀장학담당자_eunangela@yonsei.ac.kr,
문과대학,"인문예술진흥사업단, 『한국문학의 저력』 문정희 국립한국문학관장 명사 초빙 특강 신청 안내",2024.11.28,https://libart.yonsei.ac.kr/libart/board/notice.do?mode=view&articleNo=215801&article.offset=0&articleLimit=10,"‘한국문학의 저력’ 문정희 국립한국문학관장 명사 초빙 특강 신청 안내참여대상 : 연세대 구성원 및 시민 누구나일정: 2024년 12월 12일 목요일, 오후 4시 30분교육장소: 연세대학교 위당관 6층 백주년기념홀문의: 문과대학 인문예술진흥사업단02-2123-7920,humanart@yonsei.ac.kr신청 링크:https://forms.gle/E7dW9f6V4rFxZ3v69특강 종료 후, 안내데스크에서 무료 주차권을 받아가세요.",image\인문예술진흥사업단_ _한국문학의 저력_ 문정희 국립한국문학관장 명사 초빙 특강 신청 안내_1.png
문과대학,2025 인문인 동계 인턴십 참여자 모집 공고,2024.11.28,https://libart.yonsei.ac.kr/libart/board/notice.do?mode=view&articleNo=215767&article.offset=0&articleLimit=10,"[연세대학교 인문예술진흥사업단]2025 인문인 동계 인턴십 참여자 모집 공고□ 목적▷ 문과대학 학부 대학생·대학원생 중 창업·스타트업에 관심 있는 자를 대상으로 2025년 인문인 동계 인턴십 프로그램(8주) 참여를 지원하고, 인턴십 지원에 필요한 서류와 면접 평가를 최소화하여 경력 및 이력에 대한 진입 부담을 완화하고자 함□ 지원 대상▷ 서울캠퍼스(신촌, 국제) 문과대학 제1전공 학부 대학생&대학원생, 학석사 연계과정 장학생도 참여가능(단, 학사 수료인 경우 참여 불가)-  2024-2학기 재학생이어야 하며, 참여자는 2025년 2월 말까지 재학 중이어야 함□ 지원 내용▷ 겨울 방학(1,2월) 중 유망 스타트업*중기업 인턴 우대 채용□ 근무 기간▷ 2025년 1월 6일 ~ 2월 28일, 총 8주(출퇴근 시간 및 근무 방식은 기업별 상이)□ 지원금 및 급여▷ 학부 최소 350만원 이상장학금 250만원 + 파견 기업 최소 100만원 + a (기업별)▷ 대학원 최소 440만원 이상장학금 340만원 + 파견 기업 최소 100만원 + a (기업별)□ 지원 방법▷ 연세대 인문예술진흥사업단 홈페이지(humanart.yonsei.ac.kr)공지 확인 후 제출 서류를 준비하여 인문예술진흥사업단 이메일(humanart@yonsei.ac.kr)로 접수□ 일정▷ 접수: ~ 2024.12.8.▷ 서류 및 면접 심사: 2024.12.9. ~ 2024.12.27. (각 기업별 상이)▷ 최종 합격자 발표: 2024.12.30. (각 기업별 상이)(위 일정은 계획이며 학사일정 및 기업 내부 사정으로 변경될 수 있음)□ 기타사항▷ 근무환경과 지원에 관한 모든 사항은 홈페이지 공고 및 첨부 파일 확인▷ 최대 2개 기업까지 지원 가능하며, 지원서 및 자기소개서를 각각 작성하여 별개의 파일로 제출▷ 2개 기업에서 서류 동시 합격시 최종 면접은 사업단 및 기업과 협의 후 선택▷ 근무태도가 불성실할 경우 지원중단 등 조치□ 문의연세대학교 인문예술진흥사업단02-2123-7920humanart@yonsei.ac.kr이메일 문의를 권장",image\2025 인문인 동계 인턴십 참여자 모집 공고_1.png
문과대학,연세대학교 [문과대학 행정팀] 시간제근로자 채용 공고,2024.11.22,https://libart.yonsei.ac.kr/libart/board/notice.do?mode=view&articleNo=215500&article.offset=0&articleLimit=10,"■ 모집 부분1. 모집 분야: 시간제근로자 1명2. 세부 업무: 문과대학 사무실 행정업무 보조(우편물, 사무실 환경 정리, 기타 사무보조 등)■ 자격 요건1. 대학 재학생 또는 휴학생■ 근무 조건1. 근로계약: 시간제근로자 (최대 11개월, 재계약 없음)2. 급여 및 근무시간가. 시급: 9,860원 (주휴수당 별도)나. 근무시간: 월~금 08:30~15:00 (휴게시간 0.5시간 제외 일 6시간 근무)3. 4대 보험 가입4. 근무시작일: 2024년 12월 중순5. 근무기간: 6~11개월 (11개월 가능자 우대)6. 근무지: 연세대학교 문과대학 사무실(서울시 서대문구 연세로 50 연세대학교 외솔관 101-1호)■ 전형 방법1. 1차: 서류전형2. 2차: 면접전형(서류전형 합격자에 한해 개별 통보)■ 제출서류1. 지원서 1부 (첨부 양식)* 양식 임의 변경 금지, 주민등록번호 및 민감정보(종교, 건강, 신념, 사상 등) 기재 금지2. 개인정보 수집 및 이용에 대한 동의서 1부 (첨부 양식)3. 재학 또는 휴학 증명서 1부.■ 지원방법1. 지원기한: 2024.11.22.(금) ~ 2024.11.29.(금)2. 지원방법: 이메일 접수 (eunangela@yonsei.ac.kr)- 서류 일체를 순서대로 1개의 PDF 파일로 송부- 서명(인)란은 출력하여 자필서명 후 스캔- 메일제목을 [아르바이트지원_지원자성명] 으로 송부- 첨부파일(제출서류) 제목은 [아르바이트지원_지원자성명] 으로 기재■ 기타1. 서류전형 합격자는 핸드폰 또는 e-mail로 개별 연락드립니다.2. 지원서 양식을 임의로 변경하거나, 주민등록번호 및 민감정보(종교, 건강, 신념, 사상 등)을 기재하였을경우 제출서류는 즉시 파기되며 채용접수가 취소됩니다.3. 최종 합격자의 경우, 서류 전형시 제출한 사본(PDF)에 대하여 원본을 제출하여야 합니다.허위 내용이 있을 시 합격이 취소될 수 있습니다.4. 기타 문의: 02-2123-2253 (채용담당자)",
문과대학,2025학년도 1학기 송원김영환장학재단 장학생 추천,2024.11.19,https://libart.yonsei.ac.kr/libart/board/notice.do?mode=view&articleNo=215318&article.offset=0&articleLimit=10,"1.문과대학 : 1명2. 장학금액: 500만원 (국가장학금, 교내장학금 중복수혜 가능)3. 선발 조건1) 2025학년도 1학년도에 2학년 진급(현재1학년 2학기 재학)2) 전체 평량평균이 3.0/4.3 이상인 학생3) 소득분위: 3분위 이하4. 제출 서류1) 붙임1  지원서 1부.2) 한국장학재단 소득구간(분위) 통지서 1부.3) 성적증명서 1부4) 지도교수 추천서(자유양식)5) (해당자) 수급자증명서 1부.5. 제출 기한: 2024년 11월 25일(월) 오전 10시까지6. 제출 방법:서류 1)~5) 서류를 PDF 1개 파일로 제출 (파일명: 송원장학생 지원 _학과_이름)7. 제출처: 문과대학 행정팀장학담당자_eunangela@yonsei.ac.kr",
문과대학,2025학년도 관정이종환교육재단 장학생 선발,2024.11.15,https://libart.yonsei.ac.kr/libart/board/notice.do?mode=view&articleNo=215172&article.offset=0&articleLimit=10,"게시글 내용1.문과대학 : 2명2. 장학금액: 아래 두 유형 중 학생이 한 유형 택 11) 관정성적우수장학금(A형): 6백만원 한도 내에서 등록금+생활비.(국장 포함한 모든 타장학금 중복수혜 불가)2) 관정학업장려장학금(B형) : 생활비 장학금 4백만원, 국가 및 학교 등록금성 장학금 중복수혜 가능(타 외부재단 장학금 중복수혜 불가)3. 선발 조건1) 2025학년도 1학년도에 5학기 진학을 예정하고 있는 학생(3학년 1학기)2) 전체 평량평균이 3.8/4.3 이상인 학생3) 2001.1.1. 이후 출생자4) 편입생 제외5) 대한민국 국적 보유자, 대한민국에서 고등학교를 졸업한 자4. 제출 서류1) 붙임1  지원서 1부.2) 성적증명서 1부.3) 재학증명서 1부.4) (해당자) 한국장학재단 소득구간(분위) 통지서 1부.5) (해당자) 2022년  11월 1일 이후 취득한 어학능력증명서 1부.5. 제출 기한: 2024년 11월 25일(월) 오전 10시까지6. 제출 방법: 제출서류 1) 엑셀파일 지원서 (파일명: 관정 이종환교육재단 장학 지원서_ 학과 이름)제출 서류 2)~5) 서류를 PDF 1개 파일로 제출 (파일명: 관정 이종환교육재단 장학 지원 서류 _학과 이름)7. 제출처: 문과대학 행정팀장학담당자_eunangela@yonsei.ac.kr",
문과대학,연세대학교 문과대학 2025학년도 1학기 강사 채용공고(사학과 추가)-수정,2024.11.12,https://libart.yonsei.ac.kr/libart/board/notice.do?mode=view&articleNo=214972&article.offset=0&articleLimit=10,"※ 수정부분 보라색 글씨1. 모집분야연번소속캠퍼스모집분야(과목)/시수채용구분채용인원전화번호지원서 제출처1사학과국제동아시아역사분쟁과한국/3학점1시간강사102-2123-2370yhisto@yonsei.ac.kr※ 본 과목은 국제캠퍼스(송도)에서 열리는 강의로 전임교원과의 팀티칭 수업으로 진행됨. 수업 시간은 수요일 7,8,9교시로, 강사는 9교시를 담당하게 됨.※ 채용인원은 지원현황에 따라 변경될 수 있음.※심사과정에서 채용구분(비전임교원 직위)은 변경될 수 있음. (지원자의 희망직위는 참고사항이며 심사과정에서 임용여건을 감안하여 학문후속세대강사 등의 직위로 변경될 수 있음)※ 지원자는 연세대학교 내 강의 시수가 주당 최대 9시간을 초과하지 않는 범위 내에서 다른 분야에 복수지원할 수 있음.※임용계약의 임면권자가 동일한 경우 본교/분교를 통산하여 학기당 9시간을 초과하여 강의할 수 없으므로, 연세대학교 신촌캠퍼스와 미래캠퍼스 채용공고에 각각 지원하여 합격하였더라도임용계약은 하나의 캠퍼스 학과/기관에서만 체결 가능함.※ 강의배정시간은 임용 확정 후 개설 학과와 협의하여 결정함.※ 각 모집 교과목 관련 자세한 사항은 본교 홈페이지 대학요람 (https://www.yonsei.ac.kr/sc/support/college_bulletin.jsp) 또는 아래 지원접수에 안내된 학과별 접수처로 문의 요망2. 지원자격가. 공통요건1) 사립학교법 및 기타법령 상 교원 임용 결격사유가 없는 자2) 아동청소년의성보호에관한 법률에 의한 취업제한대상에 해당하지 않는 자3) 국적이 외국인인 경우 취업 가능한 비자 소지자 우대(추후 연세대학교에서 강의 및 급여수령에 문제가 없어야 하며, 적법한 비자/체류자격을 보유할 수 없는 경우 임용 불가함)나. 강사 자격요건1) 대학졸업 후 교육 및 연구경력 2년 이상인 자2) 전문대학졸업 후 교육 및 연구경력 3년 이상인 자3)1955년 9월 1일 이후 출생한 자(강사는 1년 이상의 기간으로 임용하며, 만 70세가 되는 날이 있는 학기의 최종일까지만 임용 가능함)3. 지원기간가. 지원서 접수기간:2024. 11. 12. ~ 2024. 11. 17.※필요시 학과별로 접수기간을 연장할 수 있음.나. 지원서 제출방법: E-Mail 제출 (각 소속의 제출처 참조)4. 제출서류연번제출서류부수비고1지원서(첨부양식)1부인적사항, 자기소개서, 연구실적목록, 강의계획서2졸업증명서(필수)각1부학력사항에 기재된 모든 학위별, 박사-석사-학사 순서3경력 및 재직증명서(해당자)각1부이력서 상의 증빙자료4각종 자격사항(해당자)각1부지원서에 기재한 자격증, 어학성적 등5연구실적 증빙자료(필수아님)1부최근 3년간 연구업적(공연포함)중 총3건(3건이내)에 대한 각각의 업적표지를 하나의 pdf로 변환(예 : 논문 첫페이지, 공연포스터 등)※ 각 기관에서 필요한 경우 상기 제출서류 외 추가 서류를 요청할 수 있음.※서류 1: 파일형태는 하나의 Word 파일, 파일명은 ‘선발직위_지원서_학과(전공)_지원자 성명’ 이어야함(파일형식 임의변경 금지).서류 2~5: 파일형태는 하나의 PDF 파일, 파일명은 ‘선발직위_증빙_학과(전공)_지원자 성명’ 이어야함. 예) 강사_증빙_국어국문_김연세※ 본인에게 해당하는 서류를 위에 열거된순서대로정리하여 제출.※ 모든 증빙서류 중 영어 이외의 외국어로 된 증명은 한국어 번역 공증본을 제출해야 함.5. 심사절차가. 1차(서류심사) → 2차(면접심사 등)로 진행됨. (2차심사 필수 아님)나. 심사단계별 합격여부는 개별 통지함.6. 임용기간가. 임용기간 : 2025. 3. 1. ~ 2026. 2. 28.(1년 단위 임용)7. 합격자 서류 제출(합격 후 안내)가. 성범죄 경력・결격사유 조회 동의서, 개인정보 수집·이용 동의서, 개인정보 보호 및 보안서 각 1부(법적의무사항) (본교 소정 양식)나. 급여계좌 사본(입출금이 가능한 본인 명의 국내 계좌로 증권계좌 불가)다. 정보보안 및 개인정보보호 교육(소정 양식)※ 이외에 필요에 따라 외국인등록증 등 추가서류를 요구할 수 있음.※ 안내 기한 내 임용의사 및 합격자 서류 미제출 시 임용포기로 간주하여 사전연락 없이 차순위자에게 합격 통보할 수 있음.8. 유의 사항가. 해당 분야에 적임자가 없는 경우 등 초빙하지 않을 수 있음.나. 채용과 관련된 제반 일정은 본교 사정에 의해 변경될 수 있음.다. 실제 담당할 교과목은 강의개설여건에 따라 변경될 수 있음.(교과목 운영 상황에 따라 모집 교과목 외에 추가로 강의를 배정하거나 모집 교과목 중 일부 강의가 배정되지 않을 수 있음)라. 제출된 서류는 일체 반환하지 않으며,임용에 결격사유가 있거나 제출된 서류의 내용이 사실과 다를 경우 임용 취소함.마. 합격자에 한해 추가 증빙서류 제출을 요구할 수 있음.바. 채용지원서의 착오기재 또는 누락이나 임용자격 미달자의 응시, 연락불가, 시험 단계별 합격자 미확인 등으로 인한 불이익은 전적으로 지원자의 책임임.사. 이 공고에 명시되지 않은 사항은 연세대학교 관련 규정에 따름.붙임 1. 공개채용 지원서 1부. 끝.2024. 11. 12.연세대학교 문과대학장",
문과대학,연세대학교 문과대학 2025학년도 1학기 강사 채용공고(사학과),2024.11.08,https://libart.yonsei.ac.kr/libart/board/notice.do?mode=view&articleNo=214700&article.offset=0&articleLimit=10,"1. 모집분야연번소속캠퍼스모집분야(과목)/시수채용구분채용인원전화번호지원서 제출처1사학과신촌한국미술사/3강사102-2123-2370yhisto@yonsei.ac.kr※ 채용인원은 지원현황에 따라 변경될 수 있음.※심사과정에서 채용구분(비전임교원 직위)은 변경될 수 있음. (지원자의 희망직위는 참고사항이며 심사과정에서 임용여건을 감안하여 학문후속세대강사 등의 직위로 변경될 수 있음)※ 지원자는 연세대학교 내 강의 시수가 주당 최대 9시간을 초과하지 않는 범위 내에서 다른 분야에 복수지원할 수 있음.※임용계약의 임면권자가 동일한 경우 본교/분교를 통산하여 학기당 9시간을 초과하여 강의할 수 없으므로, 연세대학교 신촌캠퍼스와 미래캠퍼스 채용공고에 각각 지원하여 합격하였더라도임용계약은 하나의 캠퍼스 학과/기관에서만 체결 가능함.※ 강의배정시간은 임용 확정 후 개설 학과와 협의하여 결정함.※ 각 모집 교과목 관련 자세한 사항은 본교 홈페이지 대학요람 (https://www.yonsei.ac.kr/sc/support/college_bulletin.jsp) 또는 아래 지원접수에 안내된 학과별 접수처로 문의 요망2. 지원자격가. 공통요건1) 사립학교법 및 기타법령 상 교원 임용 결격사유가 없는 자2) 아동청소년의성보호에관한 법률에 의한 취업제한대상에 해당하지 않는 자3) 국적이 외국인인 경우 취업 가능한 비자 소지자 우대(추후 연세대학교에서 강의 및 급여수령에 문제가 없어야 하며, 적법한 비자/체류자격을 보유할 수 없는 경우 임용 불가함)나. 강사 자격요건1) 대학졸업 후 교육 및 연구경력 2년 이상인 자2) 전문대학졸업 후 교육 및 연구경력 3년 이상인 자3)1955년 9월 1일 이후 출생한 자(강사는 1년 이상의 기간으로 임용하며, 만 70세가 되는 날이 있는 학기의 최종일까지만 임용 가능함)3. 지원기간가. 지원서 접수기간:2024. 11. 8. ~ 2024. 11. 12.※필요시 학과별로 접수기간을 연장할 수 있음.나. 지원서 제출방법: E-Mail 제출 (각 소속의 제출처 참조)4. 제출서류연번제출서류부수비고1지원서(첨부양식)1부인적사항, 자기소개서, 연구실적목록, 강의계획서2졸업증명서(필수)각1부학력사항에 기재된 모든 학위별, 박사-석사-학사 순서3경력 및 재직증명서(해당자)각1부이력서 상의 증빙자료4각종 자격사항(해당자)각1부지원서에 기재한 자격증, 어학성적 등5연구실적 증빙자료(필수아님)1부최근 3년간 연구업적(공연포함)중 총3건(3건이내)에 대한 각각의 업적표지를 하나의 pdf로 변환(예 : 논문 첫페이지, 공연포스터 등)※ 각 기관에서 필요한 경우 상기 제출서류 외 추가 서류를 요청할 수 있음.※서류 1: 파일형태는 하나의 Word 파일, 파일명은 ‘선발직위_지원서_학과(전공)_지원자 성명’ 이어야함(파일형식 임의변경 금지).서류 2~5: 파일형태는 하나의 PDF 파일, 파일명은 ‘선발직위_증빙_학과(전공)_지원자 성명’ 이어야함. 예) 강사_증빙_국어국문_김연세※ 본인에게 해당하는 서류를 위에 열거된순서대로정리하여 제출.※ 모든 증빙서류 중 영어 이외의 외국어로 된 증명은 한국어 번역 공증본을 제출해야 함.5. 심사절차가. 1차(서류심사) → 2차(면접심사 등)로 진행됨. (2차심사 필수 아님)나. 심사단계별 합격여부는 개별 통지함.6. 임용기간가. 임용기간 : 2025. 3. 1. ~ 2026. 2. 28.(1년 단위 임용)7. 합격자 서류 제출(합격 후 안내)가. 성범죄 경력・결격사유 조회 동의서, 개인정보 수집·이용 동의서, 개인정보 보호 및 보안서 각 1부(법적의무사항) (본교 소정 양식)나. 급여계좌 사본(입출금이 가능한 본인 명의 국내 계좌로 증권계좌 불가)다. 정보보안 및 개인정보보호 교육(소정 양식)※ 이외에 필요에 따라 외국인등록증 등 추가서류를 요구할 수 있음.※ 안내 기한 내 임용의사 및 합격자 서류 미제출 시 임용포기로 간주하여 사전연락 없이 차순위자에게 합격 통보할 수 있음.8. 유의 사항가. 해당 분야에 적임자가 없는 경우 등 초빙하지 않을 수 있음.나. 채용과 관련된 제반 일정은 본교 사정에 의해 변경될 수 있음.다. 실제 담당할 교과목은 강의개설여건에 따라 변경될 수 있음.(교과목 운영 상황에 따라 모집 교과목 외에 추가로 강의를 배정하거나 모집 교과목 중 일부 강의가 배정되지 않을 수 있음)라. 제출된 서류는 일체 반환하지 않으며,임용에 결격사유가 있거나 제출된 서류의 내용이 사실과 다를 경우 임용 취소함.마. 합격자에 한해 추가 증빙서류 제출을 요구할 수 있음.바. 채용지원서의 착오기재 또는 누락이나 임용자격 미달자의 응시, 연락불가, 시험 단계별 합격자 미확인 등으로 인한 불이익은 전적으로 지원자의 책임임.사. 이 공고에 명시되지 않은 사항은 연세대학교 관련 규정에 따름.붙임 1. 공개채용 지원서 1부. 끝.2024. 11. 8.연세대학교 문과대학장",
문과대학,"연세대학교 문과대학 2025학년도 1학기 강사 채용공고(국어국문, 독어독문, 심리학과)",2024.11.07,https://libart.yonsei.ac.kr/libart/board/notice.do?mode=view&articleNo=214668&article.offset=0&articleLimit=10,"1. 모집분야연번소속캠퍼스모집분야(과목)/시수채용구분채용인원전화번호지원서 제출처1국어국문학과신촌(학부)Great Books & Debate 하나밖에없는우리집:SF와함께환경책읽기/3학점3시간강사102-2123-2265sckorean@yonsei.ac.kr2독어독문학과신촌(학부)독일어(2)/3학점4시간강사102-2123-2252rngoals123@yonsei.ac.kr3심리학과신촌(학부) 심리학의실험연구방법/3학점3시간강사102-2123-2433psylab@yonsei.ac.kr※ 채용인원은 지원현황에 따라 변경될 수 있음.※심사과정에서 채용구분(비전임교원 직위)은 변경될 수 있음. (지원자의 희망직위는 참고사항이며 심사과정에서 임용여건을 감안하여 학문후속세대강사 등의 직위로 변경될 수 있음)※ 지원자는 연세대학교 내 강의 시수가 주당 최대 9시간을 초과하지 않는 범위 내에서 다른 분야에 복수지원할 수 있음.※임용계약의 임면권자가 동일한 경우 본교/분교를 통산하여 학기당 9시간을 초과하여 강의할 수 없으므로, 연세대학교 신촌캠퍼스와 미래캠퍼스 채용공고에 각각 지원하여 합격하였더라도임용계약은 하나의 캠퍼스 학과/기관에서만 체결 가능함.※ 강의배정시간은 임용 확정 후 개설 학과와 협의하여 결정함.※ 각 모집 교과목 관련 자세한 사항은 본교 홈페이지 대학요람 (https://www.yonsei.ac.kr/sc/support/college_bulletin.jsp) 또는 아래 지원접수에 안내된 학과별 접수처로 문의 요망2. 지원자격가. 공통요건1) 사립학교법 및 기타법령 상 교원 임용 결격사유가 없는 자2) 아동청소년의성보호에관한 법률에 의한 취업제한대상에 해당하지 않는 자3) 국적이 외국인인 경우 취업 가능한 비자 소지자 우대(추후 연세대학교에서 강의 및 급여수령에 문제가 없어야 하며, 적법한 비자/체류자격을 보유할 수 없는 경우 임용 불가함)나. 강사 자격요건1) 대학졸업 후 교육 및 연구경력 2년 이상인 자2) 전문대학졸업 후 교육 및 연구경력 3년 이상인 자3)1955년 9월 1일 이후 출생한 자(강사는 1년 이상의 기간으로 임용하며, 만 70세가 되는 날이 있는 학기의 최종일까지만 임용 가능함)3. 지원기간가. 지원서 접수기간:2024. 11. 7. ~ 2024. 11. 12.※필요시 학과별로 접수기간을 연장할 수 있음.나. 지원서 제출방법: E-Mail 제출 (각 소속의 제출처 참조)4. 제출서류연번제출서류부수비고1지원서(첨부양식)1부인적사항, 자기소개서, 연구실적목록, 강의계획서2졸업증명서(필수)각1부학력사항에 기재된 모든 학위별, 박사-석사-학사 순서3경력 및 재직증명서(해당자)각1부이력서 상의 증빙자료4각종 자격사항(해당자)각1부지원서에 기재한 자격증, 어학성적 등5연구실적 증빙자료(필수아님)1부최근 3년간 연구업적(공연포함)중 총3건(3건이내)에 대한 각각의 업적표지를 하나의 pdf로 변환(예 : 논문 첫페이지, 공연포스터 등)※ 각 기관에서 필요한 경우 상기 제출서류 외 추가 서류를 요청할 수 있음.※서류 1: 파일형태는 하나의 Word 파일, 파일명은 ‘선발직위_지원서_학과(전공)_지원자 성명’ 이어야함(파일형식 임의변경 금지).서류 2~5: 파일형태는 하나의 PDF 파일, 파일명은 ‘선발직위_증빙_학과(전공)_지원자 성명’ 이어야함. 예) 강사_증빙_국어국문_김연세※ 본인에게 해당하는 서류를 위에 열거된순서대로정리하여 제출.※ 모든 증빙서류 중 영어 이외의 외국어로 된 증명은 한국어 번역 공증본을 제출해야 함.5. 심사절차가. 1차(서류심사) → 2차(면접심사 등)로 진행됨. (2차심사 필수 아님)나. 심사단계별 합격여부는 개별 통지함.6. 임용기간가. 임용기간 : 2025. 3. 1. ~ 2026. 2. 28.(1년 단위 임용)7. 합격자 서류 제출(합격 후 안내)가. 성범죄 경력・결격사유 조회 동의서, 개인정보 수집·이용 동의서, 개인정보 보호 및 보안서 각 1부(법적의무사항) (본교 소정 양식)나. 급여계좌 사본(입출금이 가능한 본인 명의 국내 계좌로 증권계좌 불가)다. 정보보안 및 개인정보보호 교육(소정 양식)※ 이외에 필요에 따라 외국인등록증 등 추가서류를 요구할 수 있음.※ 안내 기한 내 임용의사 및 합격자 서류 미제출 시 임용포기로 간주하여 사전연락 없이 차순위자에게 합격 통보할 수 있음.8. 유의 사항가. 해당 분야에 적임자가 없는 경우 등 초빙하지 않을 수 있음.나. 채용과 관련된 제반 일정은 본교 사정에 의해 변경될 수 있음.다. 실제 담당할 교과목은 강의개설여건에 따라 변경될 수 있음.(교과목 운영 상황에 따라 모집 교과목 외에 추가로 강의를 배정하거나 모집 교과목 중 일부 강의가 배정되지 않을 수 있음)라. 제출된 서류는 일체 반환하지 않으며,임용에 결격사유가 있거나 제출된 서류의 내용이 사실과 다를 경우 임용 취소함.마. 합격자에 한해 추가 증빙서류 제출을 요구할 수 있음.바. 채용지원서의 착오기재 또는 누락이나 임용자격 미달자의 응시, 연락불가, 시험 단계별 합격자 미확인 등으로 인한 불이익은 전적으로 지원자의 책임임.사. 이 공고에 명시되지 않은 사항은 연세대학교 관련 규정에 따름.붙임 1. 공개채용 지원서 1부. 끝.2024. 11. 7.연세대학교 문과대학장",
문과대학,‘연세대학교 창업지원단장’ 창업설명회 신청 안내,2024.11.07,https://libart.yonsei.ac.kr/libart/board/notice.do?mode=view&articleNo=214665&article.offset=0&articleLimit=10,"‘연세대학교 창업지원단장’창업설명회 신청 안내□ 참여대상 : 교수, 교직원, 학생 등 창업에 관심있는 누구나□ 일정: 2024년 11월 11일 오후 4시□ 장소: 위당관 6층 백주년기념홀□ 내용- 연세대학교 창업지원단 조직, 사업 소개- 교원/학생 창업 현황 및 사례 안내- 실험실 창업 절차 안내- 단계별 창업지원 프로그램 소개(학생창업 지원, 예비창업 지원 등)- 창업 인프라 소개(기업가치분석센터 포함)- 질의응답□ 기타당일 오후 5시부터 ‘문과대생을 위한 창업특강’이 이어서 개최될 예정(타단과대생 신청가능, 신청 링크:https://forms.gle/1xLsRjj4qT)□ 문의: 문과대학 인문예술진흥사업단02-2123-7920, humanart@yonsei.ac.kr□ 신청 링크:https://forms.gle/f6BkmBc24y5d7ZFN9",image\_연세대학교 창업지원단장_ 창업설명회 신청 안내_1.jpg
