department,title,date,link,context,images
음악대학,"2024-겨울 작곡과, 교회음악과 부전공 오디션 신청 안내",2024.12.03,https://music.yonsei.ac.kr/music/notice1.do?mode=view&articleNo=216043&article.offset=0&articleLimit=10,"[2024-겨울 작곡과, 교회음악과 부전공 오디션 신청 안내]1. 신청 기간: 12월 4일(수) ~ 12월 13일(금)2. 신청 자격: 음악대학 2학년 이상(1학년 2학기인 예비 2학년생 신청 가능)3. 신청 방법: 아래 내용을 메일로 작성하여 제출 (제출 메일: z8022823@yonsei.ac.kr )(1) 메일 제목: 부전공 오디션 신청(2) 메일 본문:- 이름:- 소속 학과:- 학번:- 부전공 신청 학과(전공):- 연락처:4. 부전공 선발 학과: 작곡과, 교회음악과(오르간, 하프시코드, 합창지휘전공)5. 오디션 내용:학과오디션 내용작곡과- 작곡 관련 질의(면접 형식)교회음악과 오르간전공- 피아노: 자유곡 1곡- 오르간: 바흐 작품 중 자유곡 1곡교회음악과 하프시코드전공- 바흐 작품 중 1곡(모음곡의 경우 발췌 가능)- 17, 18세기 프랑스 작품 중 한 작품(모음곡의 경우 발췌 가능)교회음악과 합창지휘전공- 피아노: 고전 소나타 빠른 악장- 성악: 이태리 또는 독일 가곡 중 1곡- 청음 테스트: 화성 종류 및 전위위치 구분6. 오디션 일정: 12월 23일(월) ~ 1월 31일(금) 중 학과 자율, 신청 학생과 협의7. 합격자 발표: 오디션 진행 후 일주일 이내 개별 안내(예정)8. 유의사항(1) 오디션 결과에 따라 최종 부전공 합격자가 없을 수도 있습니다.(2) 소속 학과와 동일한 학과로는 부전공 신청할 수 없습니다.예) 교회음악과 오르간전공 학생이 교회음악과 하프시코드전공으로 부전공 신청할 수 없음.",
음악대학,음악대학 부전공 요건 안내(2024.11.26. 업데이트),2024.11.28,https://music.yonsei.ac.kr/music/notice1.do?mode=view&articleNo=215764&article.offset=0&articleLimit=10,"[음악대학 부전공 요건 안내]* 2024년 11월 26일 개정되었으며, 5개 학과 요건 동일합니다.음악대학 학생에게만 해당하며, 타대학 학생은 음악대학 부전공 신청할 수 없습니다.1. 해당 학과:교회음악과, 성악과, 피아노과, 관현악과, 작곡과 동일2. 이수요건:전공실기 4학기(12학점)+해당 학과 전공(전공필수 또는 전공선택) 9학점 = 총 21학점3. 적용학번:2010~99994. 유의사항:(1) 오디션을 거쳐 합격한 학생만 한 학기에 본 전공실기와 부 전공실기를 동시에 수강신청할 수 있습니다.(2) 학과 사정에 따라 부전공 선발하지 않을 수 있으므로 학기별 부전공 오디션 공지사항 확인 및 사전 문의 바랍니다.(3) 전공 9학점은 해당 학과에서 개설하는 과목으로 이수하기 바랍니다.5. 오디션 신청 자격:음악대학 2학년 이상(1학년 2학기인 예비 2학년생 신청 가능)6. 오디션 신청 시기 및 진행:별도 공지하며,신청 학생과 일정 협의하여기말고사 종료 후 방학 내에오디션 진행합니다.(1학기에는 6월 초, 2학기에는 12월 초 정도에 음악대학 홈페이지 공지 예정)7. 문의:음악대학 행정팀(02-2123-3016)",
음악대학,2025학년도 1학기 재입학 전형 안내,2024.10.25,https://music.yonsei.ac.kr/music/notice1.do?mode=view&articleNo=213989&article.offset=0&articleLimit=10,"2025학년도 1학기 재입학 전형 요강1재입학 지원 자격대상미등록, 미복학, 성적불량(제적일로부터 2년 경과된 자), 학기초과, 자원퇴학 제적자2모집 단위교육학과, 체육교육학과 및 약학과를 제외한 전 학과 약간 명1) 폐지된 법학과 제적생의 경우 행정학과로의 재입학 신청 가능2) 의과대학, 치과대학, 간호대학 학생은 소속대학 행정팀에 신청 가능 여부를 확인하여야 함3전형 방법1) 1단계: 학사지원팀 심사2) 2단계: 대학별 심의위원회 심사(해당 대학·학과)3) 3단계: 재입학 심의위원회 심사※ 필요에 따라 학과에서 시험을 부과할 수 있음※ 위 심사과정에서 하나라도 불가(不可)이면 재입학이 허가되지 않음4제출 서류학사포탈시스템을 통해 청원서, 서약서, 학업계획서, 학적증명서 제출5전형 일정1) 접수 기간: 2024. 11. 25.(월) ~ 12. 6.(금) 오후 5시2) 접수처: 교무처 학사지원팀(학사포탈 시스템)3) 합격자 발표: 2024. 12. 27.(금)6유의사항1) 재입학 후 첫 학기는 반드시 등록하여야 하며, 일반휴학 할 수 없음2) 재입학 이전의 재학기간, 학사경고 등의 학적사항, 취득학점 및 성적을 통산함- 재입학 전 일반휴학을 모두 활용한 학생은 재입학 후 일반휴학 할 수 없음- 재학연한은 이전 이수학기를 포함하여 12학기(당초입학생 기준)이며 이를 초과하는 경우 학기초과로 제적됨. 단, 학기초과로 제적되었던 학생이 재입학하는 경우 제적 전 이수학기를 포함하여 최대 16학기(3학년 편입생은 최대 8학기)까지 재학할 수 있음.- 재입학 전 학사경고 사항은 유효하며 횟수를 누적 적용함. 따라서, 성적불량으로 제적되었던 학생이 재입학하는 경우 학사경고 1회만 받아도 제적됨3) 재입학은 1회에 한하여 허용함(재입학 합격 후 포기 시 재입학을 다시 할 수 없음)4) 재입학 합격 후 학기 개강 전까지는 계절학기를 수강할 수 없음5) 재입학 후 소속변경 할 수 없음",
음악대학,"음악대학 시설 수리 요청 (피아노, 전기, 에어컨, 건의 사항 기타)",2024.09.09,https://music.yonsei.ac.kr/music/notice1.do?mode=view&articleNo=210601&article.offset=0&articleLimit=10,"음악대학 시설 수리 요청 (피아노, 전기, 에어컨, 건의 사항 기타)https://forms.gle/ZotVZNR88kifg7Hp7",
음악대학,2025학년도 정시 실기시험 과제곡 및 편입학 시험 과제곡,2024.09.03,https://music.yonsei.ac.kr/music/notice1.do?mode=view&articleNo=210063&article.offset=0&articleLimit=10,2025학년도 신입학 정시모집 실기시험 과제곡 및 편입학 시험 과제곡<입학처 홈페이지에서 확인>2025학년도 신입학 정시2025학년도 편입학본 안내문의 일부 사항이 추후 변경될 수 있으므로 원서접수 전 연세대학교 입학처 홈페이지에서 최종 공지사항을 확인하시기 바랍니다.,
음악대학,교회음악과 내규(2024.08. 업데이트),2024.08.13,https://music.yonsei.ac.kr/music/notice1.do?mode=view&articleNo=208753&article.offset=0&articleLimit=10,"* 주요 변경 사항- 일부 과목 적용 학번 변경: ""1. 교회음악과 전공별 수업에 관한 내규"" 중 사. 부분 확인- 재수강예외과목 신규 지정: 바로크성악연주법, 합창발성법(1),(2)- 재수강예외과목 비고란 수정","image\교회음악과 내규_2024_08_ 업데이트__1.png, image\교회음악과 내규_2024_08_ 업데이트__2.png, image\교회음악과 내규_2024_08_ 업데이트__3.png, image\교회음악과 내규_2024_08_ 업데이트__4.png, image\교회음악과 내규_2024_08_ 업데이트__5.png, image\교회음악과 내규_2024_08_ 업데이트__6.png"
음악대학,음악대학 재수강예외교과목 리스트 안내(2024.08.),2024.08.08,https://music.yonsei.ac.kr/music/notice1.do?mode=view&articleNo=208445&article.offset=0&articleLimit=10,"음악대학 재수강예외교과목 안내1. 재수강예외교과목이란?(1) 아래 교과목에 한하여 동일한 과목을 2회 이상 수강하더라도 재수강예외처리가 되어 수강한 만큼 학점과 성적이 인정됩니다.(2) 이전 학기 좋지 않은 성적을 받아서 재수강예외교과목을 재수강하고 싶은 경우, 해당 과목 수강신청 후 수강변경기간 시기까지(학기별 별도 공지 기간) 재수강처리요청서를 음악대학 행정팀에 제출해야 합니다.* 음악대학 재수강예외교과목 리스트:2. 일반 재수강 관련 참고 자료(1) 연세대학교 홈페이지 학사지원 재수강 설명:https://www.yonsei.ac.kr/sc/support/training_course13.jsp(2) 재수강 시행세칙제3조 (학점 및 성적인정)① 동일교과목을 2회 이상 수강하였을 때에는 최종으로 이수한 학점만 졸업이수 학점에 포함된다. 단, 다음 각 호의 교과목은 달리 적용한다.<개정 2023.05.20.>1. 음악대학 전공실기(1:1 지도), 채플, 주니어세미나, UT세미나, 및 기타 P/NP평가 교과목 중 기관에서 별도 학점이수가 가능하도록 지정한 교과목: 학생 선택에 따라 재수강처리 가능2. 사회참여, 사회봉사, 현장실습 교과 등: 재수강을 선택할 수 없으며 별도로 등록함② 평량평균 환산은 이수한 모든 성적을 포함하되, 재수강한 교과목의 경우에는 최종으로 이수한 성적만을 평량평균 환산에 포함한다.③ 2013학년도 이후 입학생은 총 6회 이내에서 재수강할 수 있다. 단, 졸업을 위해 필수로 이수하여야 하는 교과목인 경우 재수강 횟수를 초과해도 다시 수강할 수 있으나, 이 경우 이수한 모든 성적을 평량평균 환산에 포함한다.<신설 2012.11.29., 개정 2020.08.27., 2024. 7. 28.>",image\음악대학 재수강예외교과목 리스트 안내_2024_08___1.png
음악대학,연세대학교 장학금 안내,2024.08.07,https://music.yonsei.ac.kr/music/notice1.do?mode=view&articleNo=208316&article.offset=0&articleLimit=10,,
음악대학,2024학년도 2학기 학부 휴학 및 복학 신청 일정 안내,2024.06.13,https://music.yonsei.ac.kr/music/notice1.do?mode=view&articleNo=191467&article.offset=0&articleLimit=10,2024학년도 2학기 휴학·복학 주요 일정[복학]승인 차수신청 및 승인 기간비고1차7. 15.(월) ~ 8. 16.(금)승인 차수에 따라 수강신청 일정이 다름2차8. 17.(토) ~ 8. 27.(화)[일반 휴학]승인 차수신청 및 승인 기간비고1차8. 1.(목) ~ 9. 15.(일) 휴학 승인시점별 수업료 반환율 적용 11. 14.(목) 일반휴학 신청 마감2차9. 16.(월) ~ 11. 14.(목)3차11. 15.(금) ~ 12. 2.(월) 질병·출산·천재지변·법적조치 사유에 해당할 경우에 한하여 신청 가능함[입대휴학]승인 차수신청 및 승인 기간비고1차8. 1.(목) ~ 9. 15.(일) 9. 15.(일) 이후 입대하는 자는 일반휴학을 우선 신청하고 추후 입대 휴학을 추가로 신청해야 등록금 납부 없이 신청 가능2차9. 16.(월) ~ 11. 14.(목)3차11. 15.(금) ~ 2025. 1. 31.(금) 11. 15.(금)부터 입대하는 학생은 입영일 1주일 전부터 입영일 전까지 신청 가능* 더 자세한 사항은 붙임 파일을 참고하기 바랍니다.붙  임   1. 2024학년도 2학기 복학 신청 안내문(국/영문) 각 1부.2. 2024학년도 2학기 일반휴학 신청 안내문(국/영문) 각 1부.3. 2024학년도 2학기 입대휴학 신청 안내문(국문) 1부.,
음악대학,관현악과 일반편입생 전공 졸업요건 개정 안내(2024.6.),2024.06.10,https://music.yonsei.ac.kr/music/notice1.do?mode=view&articleNo=191127&article.offset=0&articleLimit=10,관현악과 일반편입생 전공 졸업요건 개정 안내* 관현악과 일반편입생 전공 졸업요건 개정 안내드립니다.일반편입생에만 해당하는 내용입니다.졸업요건과목 이수요건전공 이수학점실내악(2학점)관/현합주(1학점)전공실기(3학점)연세필하모닉/연세심포니오케스트라(3학점)적용학번전공기초이수학점전공필수이수학점전공선택이수학점전공소계이수학점변경 전6번 이수8번 이수번경 전1682098변경 후4번 이수2019~2022학번 적용16500662023~9999학번 적용165032981. 과목 이수요건 적용학번: 2010~99992. 전공 이수학점 적용학번: 2019~2022 / 2023~9999 별도3. 적용시기: 2024-1학기 졸업부터(8월 졸업)* 교양 졸업요건 및 2010~2018학번 전공 이수학점은 학번별 대학요람을 참고하기 바랍니다.** 궁금한 점이 있는 경우 음악대학 행정팀으로 문의하기 바랍니다.,
