department,title,date,link,context
응용통계학과,대학원 교과목 수강안내(24.02.13 수정),2024.01.29,https://stat.yonsei.ac.kr/stat/board/under_notice.do?mode=view&articleNo=181661&article.offset=0&articleLimit=10,"대학원 교과목 수강안내1) 3,4학년 학생은 학기당 이수학점 제한 범위 내에서, 학기당 6학점(2과목), 총 12학점(4과목) 이내에서 본 대학원 개설과목을 수강할 수 있음2) 대학원 교과목을 수강하여 취득한 학점은 본인의 선택에 따라 학부(3~4천단위 일반선택 학점으로 인정) 또는 동 대학원 진학시 취득학점으로 인정함(중복인정 안됨)① 학부-대학원(석사 및 석‧박사)연계과정 학생은 대학원 학점으로만 인정됨② 방학기간 중에 개설하는 수업, 집중강의, 현장실습과목 등은 수강 불가3) 신청방법 :첨부양식 제출 후연세포탈 > 학사정보시스템 > 학사행정 > 수업 > 대학원교과목수강신청에서 수강신청※ 대학원 교과목은 수업운영 특성 및 담당교수님의 판단에 따라 수강이 반려될 수 있습니다.수강신청변경기간 이후에는 대학원교과목 수강반려를 사유로 다른 과목에 수강신청하는 것이 불가능하니, 수강신청변경기간 내에 대학원교과목 수강 승인 여부를 반드시 확인하시어 이번 학기 수강 계획에 참고하기 바랍니다.4)첨부양식 제출 시 이중 확인을 위해 담당교수님의 승인을 증빙하는 메일을 학과 메일(stat@yonsei.ac.kr)로 포워딩"
응용통계학과,"응용통계학과 졸업이수요건 안내(복수전공 및 부전공자 포함, 2024.01.15 수정)",2020.08.03,https://stat.yonsei.ac.kr/stat/board/under_notice.do?mode=view&articleNo=99724&article.offset=0&articleLimit=10,"* 졸업이수요건은 게시글 하단에 첨부된 엑셀파일 <상경대학_응용통계학과_졸업기준_일람표(2022.07.13).xls> 안에 있는 카테고리별 시트를 참조하시기 바랍니다.-> 각 시트는 [단일전공] / [캠퍼스내 복수전공] / [학사편입] / [캠퍼스간 복수전공 및 졸업예정자 복수전공 등] / [부전공] / [글로벌인재대학(GLC) 글로벌기초교육학부(GBED) 소속 재학생]의 총 6가지 카테고리로 정리되어 있습니다.-> 통계학입문은 전공과목이 아닌 필수교양 과목이지만, 응용통계학과의 필수 이수과목이기도 합니다. 따라서 응용통계학과를 이중전공이나 복수전공을 하는 경우, 전공학점 36학점(복수전공의 경우), 전공학점 21학점(부전공의 경우)과 별도로 [통계학입문]을 수강하여야 합니다.경제학과 등 [통계학입문] 과목을 졸업요건으로 지정하고 있는 학과의 학생이 응용통계학을 이중전공하거나 부전공 하는 경우, 전공학점만 이수(복수전공 36학점, 부전공 21학점)하면 됩니다.* 2018.07.31 추가사항-> 3000·4000단위 교과목 이수와 관련된 문의가 많아 졸업이수 요건 엑셀파일을 아래의 1)~6) 항목과 같이 업데이트합니다.1) 응용통계학과 단일 전공 학생의 3000·4000단위 교과목 이수 : 모든 전공(타전공포함) 및 영역에서 '45학점 이상'을 이수하여야 한다.2) 응용통계학과 본전공 학생이 타 전공을 이중전공하는 경우 3000·4000단위 교과목 이수 : 응용통계학과 단일전공 학생과 마찬가지로 모든 전공(타전공포함) 및 영역에서 '45학점 이상' 이수하여야 한다.3) 타 전공이 본전공인 학생이 응용통계학을 이중전공하는 경우 3000·4000단위 교과목 이수 :  3000·4000단위 수업 이수 기준은 그 학생의 본전공에서 공지한 기준을 따른다.4) 응용통계학과로 학사편입한 학생의 3000·4000단위 교과목 이수 : 모든 전공(타전공포함) 및 영역에서 '30학점 이상'을 이수하여야 한다.5) 응용통계학을 졸업예정자 복수전공하는 학생의  3000·4000단위 교과목 이수 : 모든 전공(타전공포함) 및 영역에서 '30학점 이상'을 이수하여야 한다.6) 응용통계학과를 부전공하는 학생의 3000·4000단위 교과목 이수 : 3000·4000단위 수업 이수 기준은 그 학생의 본전공에서 공지한 기준을 따른다.*2019.07.01 추가사항1) 19학년도 신입생부터 필수교양 영역이 대학교양으로 합해져서 편성되는 점 반영2) 응용통계학과 전공기초 과목 중 변경된 과목명 반영->학정번호: STA2104 -과목명:(변경 전) 컴퓨터자료처리 -> (변경 후)R과파이썬프로그래밍 (영문: R AND PYTHON PROGRAMMING)학정번호: STA3108 -과목명:(변경 전) 생존분석 -> (변경 후)생존자료분석(영문: SURVIVAL DATA ANALYSIS)학정번호: STA3123 -과목명:(변경 전) 표본조사론-> (변경 후)데이터사이언스표본추출이론(영문: SAMPLING THEORY IN DATA SCIENCE)학정번호: STA3124 -과목명:(변경 전) 확률과정-> (변경 후)데이터사이언스를위한확률과정(영문: STOCHASTIC PROCESSES FOR DATA SCIENCE)3) 19학년도 일반학과에 입학하는 1학년 외국인 신입생부터 적용되는 글로벌인재대학(GLC) 글로벌기초교육학부(GBED) 소속 재학생 교과과정 시트 추가*2020.08.03 추가사항1) 캠퍼스내복수전공 유의사항 1. 학점인정 불가 전공으로 내규와 동일하게 '정보산업공학'을 명시함2) 복수전공 학점인정은 내규 참조 명시함*2021.01.05 추가사항1) 단일전공 응용통계학과 ""2020~ "" 추가- 교양기초에서 영어과목 선택과목으로 변경 반영함- 코로나로 인해 SE(사회참여) 면제 명시함2) 글로벌기초교육학부(GBED) 소속 재학생 영어과목 및 한국어능력시험 관련 사항 변경(유의사항 참조)*2021.02.05 추가사항- 2010학번부터 ""교양""에서 ""영어강독""이 ""대학영어""로 변경되었고, 이를 수정함*2021.02.09. 추가사항- 복수전공, 부전공 유의사항에 ""경제학과 등 [통계학입문] 과목을 졸업요건으로 지정하고 있는 학과의 학생이 응용통계학을 이중전공하거나 부전공 하는 경우, 전공학점만 이수(복수전공 36학점, 부전공 21학점)하면 됩니다.""문구 추가*2021.09.01. 변경사항- 학칙에 따라 내규에 명시된 과목을 학과장님 승인하에 인정함으로 명시함*2021.09.30. 변경사항- 전공간 교차인정 과목을 명시함(2021학년도 2학기 수강한 과목부터 인정)*2021.11.17. 변경사항- 연계전공 졸업기준을 명시함*2022.02.21. 변경사항- 전공간 교차인정 과목의 소급적용 허용함(2022.02.17.학사지원팀 확인 사항)*2022.07.13. 변경사항-2015-17, 2018 입학자필수교양 영역에 '소프트웨어' 추가- 2015-17, 2018 입학자 필수교양 9개 영역 10개 영역으로 변경* 주의:-> 학점인정 받은 과목이 연세포탈 시스템에서 응용통계학과의 전공선택과목으로 산정되어있지 않더라도, 졸업사정시에는 응용통계학과의 전공선택으로 반영되니 참고바랍니다.-> 필수교양 [통계학입문]은 졸업사정시 전공학점이 아닌 교양영역의 학점으로 분류됩니다. 따라서 응용통계학과의 [전공기초/전공필수/전공선택] 카테고리의 이수학점을 계산할 때에 [통계학입문]의 3학점이 포함되지 않으니, 수강신청시 참조하시기 바랍니다.-> 응용통계학과에서는 우리 과에서 요구하는 졸업요건만을 검토하여 답할 수 있습니다. 우리 학교의 교무행정상 요구되는 졸업요건(필수교양, 선택교양 등)의 세부사항은 교무처 학사지원팀(02-2123-2091)에 추가로 확인하시길 바랍니다."
응용통계학과,엘엠에스 장학생 상시 선발 안내,2018.04.10,https://stat.yonsei.ac.kr/stat/board/under_notice.do?mode=view&articleNo=26465&article.offset=0&articleLimit=10,"* 엘엠에스 장학금은 2018학년도 4월 10일 이후로 상시 선발하는 장학금으로 변경되었습니다.관심 있는 학부생은 아래 사항들을 참고하여 언제든 신청하여 주시기 바랍니다.* 지원하고자 하는 학생은 아래의 서류를 작성하여 전용호 학과장(yhjeon@yonsei.ac.kr)님께 이메일로 제출하기 바랍니다.자세한 선발기준 및 양식은 첨부파일을 참조해주세요.㈜엘엠에스는 연세대학교 응용통계학과에 재학중인 우수 학부생을 장학생으로 선발하여 학비 및 생활비를 지급하고, 학부를 졸업하는 시점에 채용으로 연계하는 엘엠에스 산업장학생을 선발하고자 합니다.수혜대상응용통계학과 전공 학부 2,3,4학년 재학생제출서류다음의 서류를 엘엠에스 기금 관리위원회에 제출한 자에 대하여 위원회의 서류 심사를 거쳐 산업장학생의 자격을 부여한다.산업장학생 신청서 및 서약서 (첨부 서식)신청사유서 (자유 서식)전학년 성적증명서 1부어학검정증명서 (TOEIC, TOEFL, TEPS 등) 사본 (소지자만 제출)수혜금액장학금 수혜금액은 등록금 전액 및 매달 생활비 50만원으로 한다.수혜기간장학금 수혜기간은 4학년 2학기까지로 한다.계속지급요청서류장학생은 재학 중 장학금의 계속 수혜를 위하여 지난 학기 성적증명서를 매년 정기적으로 1월 30일과 7월 30일까지 응용통계학과 학과장에게 제출하여야 한다.지급정지장학생이 다음 각 호의 1에 해당될 경우 장학금의 지급을 정지한다.가) 지난 학기 성적증명서를 미제출한 경우나) 특별한 사유나 연락 없이 장학금 수여식에 불참한 경우다) 학교로부터 제적, 퇴학, 정학, 휴학 등으로 학업을 중단한 경우라) 군 입대로 일시 학업을 중단한 경우는 복학 시까지 지급을 유예"
응용통계학과,응용통계학과의 학점인정 및 과목인정 내규(22.04.01. 수정),2018.03.19,https://stat.yonsei.ac.kr/stat/board/under_notice.do?mode=view&articleNo=23080&article.offset=0&articleLimit=10,"1. [응용통계학과의 학점인정 및 과목인정 내규(22.04.01.수정)]는 첨부된 hwp파일로 볼 수 있습니다.2. 교내에서 개설된 교과목의 과목인정, 학점인정은 [응용통계학과의 학점인정 및 과목인정 내규(22.04.01.수정)] 3페이지의 표에 명시된 과목만 가능합니다(과목 및 학점인정 내용은 시스템에 반영되지는 않고, 졸업사정시 학과에서 반영).3. 학점인정서와 과목인정서, 대체인정서도 첨부되어 있으니 제출시 참고하여 작성하시길 바랍니다.4. 주의: [학점인정]과 [과목인정], [대체인정]의 정의는 아래와 같습니다. 차이에 주의해주시기 바랍니다.(1) 학점인정: 신촌캠퍼스에서 수강한 타과 과목 또는 전적대학의 과목을 응용통계학과의 과목으로 인정하여 졸업학점으로 반영함- 즉, 학점인정은 해당 과목을 응용통계학과의 졸업학점으로 가져오는 것이기 때문에 응용통계학과를 이중전공하거나 부전공하는 학생의  경우, 본전공의 졸업을 위해 필수적인 과목을 응용통계학과 과목으로 학점인정 받을 수 없음- 단, 경제학과 등 [통계학입문] 과목을 졸업요건으로 지정하고 있는 학과의 학생이 응용통계학을 이중전공하거나 부전공 하는 경우, 전공학점만 이수(복수전공 36학점, 부전공 21학점)하면 됨(2) 과목인정: 이미 수강 과목으로 인정하여 새로이 수강할 필요 없으나, 졸업학점으로는 계산 되지 않아 그 학점 수에 해당하는 과목만큼 응용통계학과의 과목을 추가로 수강해야 함(3) 대체인정: 신촌캠퍼스에서 수강한 타과 과목을 응용통계학과의 과목으로 인정하고 졸업학점으로 계산 됨"
응용통계학과,교환학생 학점인정 관련 안내,2018.03.19,https://stat.yonsei.ac.kr/stat/board/under_notice.do?mode=view&articleNo=23078&article.offset=0&articleLimit=10,"1. 교화학생의 학점인정의 관련 절차는 우리학교 국제처에서 담당하고 있습니다.우리학교 국제처 홈페이지의 학점인정 안내(아래 링크)를 참조하여 관련 서류를 준비해 절차를 따르시기 바랍니다.[연세대학교 국제처 홈페이지 - Outbound Programs - 학점인정 안내 페이지]-> 링크 : https://oia.yonsei.ac.kr/partner/grade.asp2. 절차- 파견대학에서 수학한 모든 학과목의 강의계획서(Syllabi), 수강편람(bulletin)등 준비- 귀국신고등록 (학사포탈서비스 > 학사행정 > 국제학생교류 > 귀국신고등록)- 경험보고서 작성(학사포탈서비스 > 학사행정 > 국제학생교류 > 경험보고서등록)- 성적증명서 제출- 집에서 직접 수령한 경우: 개봉하지 않은 성적증명서를 국제처로 직접 제출한다.- 학교에서 수령하도록 요청한 경우: 국제팀을 통해 성적증명서가 도착했는지 확인한다. (문의 이메일: exch@yonsei.ac.kr)- 이메일로 수령하는 경우: 파견교에서 각 지역별 국제팀 담당자 이메일로 성적표를 직접 발송하도록 한다. (북미: ysoia@yonsei.ac.kr, 아시아/오세아니아: sap@yonsei.ac.kr, 유럽: abroad@yonsei.ac.kr)- 인정학점신청- 국제처에서 공식성적증명서를 수령한 뒤 총 이수학점을 환산표에 따라 학사포탈에 입력하면, 인정학점 절차를 시작- 귀국신고등록 및 경험보고서 제출이 완료 및 귀국신고서 제출이 완료된 경우에 한해 총 이수학점을 환산하므로 유의- 학사포탈시스템 <성적>메뉴의 ""인정학점신청(해외교환.유학)""에서 환산된 총 이수학점과 첨부된 성적증명서를 확인한 뒤, 과목으로 인정받아야 하는 경우 과목 내용을 작성하고 관련 증빙자료를 첨부하여 학점 인정- 신청이 완료되면 각 과목별 담당교수, 학과장의 검토 및 승인을 거쳐 교무처 학사지원팀에서 최종 승인- 승인된 인정학점과 대체교과목은 학사포탈시스템에서 조회* 이 외의 자세한 사항은 우리학교 국제처 홈페이지의 학점인정 안내 페이지를 참고"
응용통계학과,[QNS Colloquium] 이화여자대학교 기초과학연구원 양자나노과학연구소 콜로퀴움,2024.11.06,https://stat.yonsei.ac.kr/stat/board/under_notice.do?mode=view&articleNo=214604&article.offset=0&articleLimit=10,"이화여자대학교 기초과학연구원 양자나노과학연구소에서 아래와 같이  QNS Colloquium 을 진행합니다.[양자나노과학연구소][콜로퀴움][2024.11.26]Ultracold molecules as a new quantum resource주제:Ultracold molecules as a new quantum resource연사: Eunmi Chae, Korea University(Korea)일시:11월 26일 오후 5시장소: 연구협력관 지하 1층 주피터 회의실  (온라인 오프라인 동시 진행)개요:Due to their complex internal structures and strong long-range interactions, diatomic molecules are expected to be a promising platform for quantum simulations/computations. The rotational states of the molecules trapped in an optical tweezer array form qubit states with long coherence time. Entanglement between the molecules can be generated using the strong electric dipole-dipole interactions.To achieve the molecular quantum platform, the molecules should be prepared at ultracold temperatures. One way to cool the molecules is laser-cooling, the workhorse technique to cool the atoms. Despite the complicated internal structures of molecules, laser-cooling and magneto-optical traps of molecules have been demonstrated for several species, reaching temperatures down to 5 uK.In this talk, two experiments using ultracold molecules will be introduced. I will first start with the CaF experiment at Harvard, where we confirmed dipolar spin exchange due to the strong interaction between the molecules. Here, rotational states of the molecules are adapted as the qubit states, and each molecule is trapped in an optical tweezer. A two-qubit gate to generate the entanglement is demonstrated between the two molecules with the fidelity of 0.89. In the second part of the talk, I will also briefly introduce a new MgF experiment at Korea University.* 사전등록 필수: 사전등록자에 한하여 Zoom link를 전달합니다.사전등록:https://qns.science/colloquium/registration/"
응용통계학과,윤동주 시문학상,2024.11.05,https://stat.yonsei.ac.kr/stat/board/under_notice.do?mode=view&articleNo=214538&article.offset=0&articleLimit=10,"응모자격: 대학(원)생응모작품: 운문5편(자유주제)응모기간: 2024.11.11.(월) ~ 12.13(금)까지 메일 도착분 유효응모방법: 지원서와 작품 등 서류를 이메일(yoondongju@yonsei.ac.kr)로 제출결과발표: 2025년 1월 중 홈페이지 공지사항 게시 예정시상내역 : 당선작 1명(상장 및 상금 400만원), 가작 2명(상장 및 상금 200만원)시상식 : 2025년 2월 중 (수상자 별도 안내)※ 보다 자세한 사항 및 서류 양식은 연세대학교 홈페이지(http://www.yonsei.ac.kr) 공지사항의 해당 공고를 확인하시기 바랍니다."
응용통계학과,[문화체육관광부] 2024 디지털혁신 포럼 (11.7.(목)),2024.10.31,https://stat.yonsei.ac.kr/stat/board/under_notice.do?mode=view&articleNo=214285&article.offset=0&articleLimit=10,"1. 행사명: 2024 문화체육관광 디지털혁신 포럼2. 일시/장소: 2024.11.7.(목) 10:00~16:20 / 서울가든호텔 (그랜드볼룸)- 오전: 디지털혁신 및 문화데이터 활용 공모전 시상식- 오후: 분야별 전문가 포럼3. 주최/주관: 문화체육관광부 / 한국문화정보원 / 국민체육진흥공단 / 한국관광공사 / 한국문화예술위원회 / 한국저작권보호원 / 한국콘텐츠진흥원4. 주제: 새로운 세상, 디지털로 누리는 문화5. 참석대상: 대한민국 국민 누구나6. 참여신청:- 신청기간: 2024.10.16(수) ~ 11.5(화)- 신청방법: 포럼(culture.go.kr/digicon)웹을 통해 신청"
응용통계학과,폭력 예방 교육 간식 지원 행사,2024.10.30,https://stat.yonsei.ac.kr/stat/board/under_notice.do?mode=view&articleNo=214201&article.offset=0&articleLimit=10,
응용통계학과,2025학년도 1학기 재입학 전형 안내문,2024.10.28,https://stat.yonsei.ac.kr/stat/board/under_notice.do?mode=view&articleNo=214062&article.offset=0&articleLimit=10,2025학년도 1학기 재입학 전형 요강을 안내해드립니다.
