department,title,date,link,context
전기전자공학과,제23회 연세치의학 학술대회(공대-치대-의대 공동 심포지엄) 개최 안내,2024.11.19,https://ee.yonsei.ac.kr/ee/community/academic_notice.do?mode=view&articleNo=215285&article.offset=0&articleLimit=10,
전기전자공학과,2025학년도 관정이종환교육재단 장학생 선발 안내,2024.11.16,https://ee.yonsei.ac.kr/ee/community/academic_notice.do?mode=view&articleNo=215174&article.offset=0&articleLimit=10,"2025학년도 관정이종환교육재단 장학생 선발 안내가. 추천대상: 공과대학 3명나. 추천조건:1) 2025년 1학기에 3학년 1학기 재학예정자2) 전학년 평량평균 3.8/4.3 이상3) 2001.1.1. 이후 출생자4) 편입생 불가다. 장학금액: 아래 두 유형 중 택 11) 관정성적우수장학금: 등록금 전액2) 관정학업장려장학금: 생활비성 장학금 4백만원(국가장학금 또는 교내장학금 중복수혜 가능, 타 외부재단 장학금 중복수혜 불가)라. 제출서류:1) 이름, 소속, 학번, 소득수준, 지원이유, 고등학교성적, 대학교 성적/어학능력, 각종활동 내역 간략기재(자유서식)2) 이후 학교에서 추천된 학생들 대상으로 재단에서 추후 안내(온라인 지원, 증빙서류 제출 등) 예정3) 재단에서 심사 통해 최종적으로 수혜학생 선정될 예정마. 제출기한 및 문의: 11월 26일(화) HJ07@YONSEI.AC.KR(02-2123-5734)"
전기전자공학과,"2024학년도 EE-Festival: Yonsei EE, the Next Nobel",2024.11.11,https://ee.yonsei.ac.kr/ee/community/academic_notice.do?mode=view&articleNo=214870&article.offset=0&articleLimit=10,"⚡EE페스티벌 사전등록 OPEN⚡전기전자공학부 축제의 밤! EE페스티벌이 11/25 월요일, 백양누리 그랜드볼룸에서 개최됩니다.프리미엄 뷔페와 초호화 경품이 기다리고 있으니 많은 관심 부탁드립니다.?11월 25일 월요일?백양누리 B1 그랜드볼룸?전기전자공학부 학부생 누구나EE페스티벌에 참여하면?‍? 종합설계 69팀의 포스터 발표를 관람할 수 있어요? 훌륭한 연세대학교 선배들의 인사이트 세션에 참여할 수 있어요?️ 인 당 45000원 상당의 프리미엄 뷔페 식사가 제공돼요? 아이패드, 스탠바이미, 스마트워치 등 화려한 경품이 쏟아져요오늘 18시부터 선착순 200명 사전등록 시작!사전등록자에게 스타벅스 기프트카드 지급☕https://link.inpock.co.kr/eefestival2024? 타임테이블15:30 등록 부스 오픈16:00 종합설계 포스터 발표, 기업 부스 오픈16:30 그랜드볼룸 선착순 입장 시작17:00 인사이트 세션1 유튜버 궤도18:00 인사이트 세션2 윤자영 대표18:30 뷔페 식사 시작19:30 종합설계 시상 및 경품 추첨⚠️ 운영 규칙- 식권 및 경품권은 그랜드볼룸 입장 팔찌로 통합 관리됩니다.- 인사이트세션, 식사, 경품 추첨은 그랜드볼룸 내부에서 진행되며, 팔찌를 착용하지 않은 경우 그랜드볼룸 내 행사 참여가 불가합니다.- 팔찌가 훼손, 분실된 경우 그랜드볼룸 출입이 불가하니 유의해주시기 바랍니다.- 팔찌는 스태프에게 종합설계 관람 인증 스탬프를 받고 그랜드볼룸에 입장하는 순서대로 선착순 발급됩니다. (그랜드볼룸 게이트 오픈 16:30)- 종합설계 발표는 16:00~17:00 1시간동안 백양누리 ibk기업은행홀에서 진행됩니다.- 16~18시 전공 수업은 담당 교수님 재량에 따라 결석계가 지급됩니다.FAQ 확인하기https://link.inpock.co.kr/eefestival2024전기전자공학부 명예학회문의 eehsinyonsei@gmail.com"
전기전자공학과,제24회 윤동주 시문학상 공모,2024.11.07,https://ee.yonsei.ac.kr/ee/community/academic_notice.do?mode=view&articleNo=214646&article.offset=0&articleLimit=10,
전기전자공학과,[학부/대학원] 바이오전기전자미래기술콜로키엄 세미나 안내,2024.09.23,https://ee.yonsei.ac.kr/ee/community/academic_notice.do?mode=view&articleNo=211576&article.offset=0&articleLimit=10,"안녕하세요, 전기전자공학과입니다.바이오전기전자미래기술콜로키엄 세미나를 안내하오니 관심있는 학생들의 많은 참석 바랍니다.(수강신청을 하지 않은 학부/대학원생 모두 참석 가능)"
전기전자공학과,"[학부] 해외교환 학생의 전공 학점 인정 절차 및 편입생 과목 인정, 재입학 문의 절차 안내",2024.08.13,https://ee.yonsei.ac.kr/ee/community/academic_notice.do?mode=view&articleNo=208715&article.offset=0&articleLimit=10,"해외교환 학생의 전공 학점 인정 관련 학과 절차와 편입생의 과목 인정 문의 절차에 대하여 안내드립니다.[교환학생]1. 2024-2학기 학점 인정 신청 기간1) 1차: 2024년 9월 1일 ~ 9월 30일2. 신청 및 처리 절차1) 학점인정(대체교과목) 대상 교과목에 대하여 학부 주임 교수님(황도식 교수님,DOSIK.HWANG@YONSEI.AC.KR)께 메일을 통해 사전승인 요청- 메일 송부 시 파견대학 성적표, 해당 과목의 강의계획서 첨부- 학과사무실 이메일 반드시 참조(eegogo@yonsei.ac.kr)2) 승인이 완료된 경우 1)의 자료 및 이메일 승인 내역 첨부하여 신청 기간 내 학사포털에 신청3) 신청 기간 종료 후 학과에서 포털 상 승인/반려 진행4) 최종 결재 후 학사지원팀에서 학적에 반영함[편입생]과목 인정 관련 문의는 학부 주임 교수님(황도식 교수님,DOSIK.HWANG@YONSEI.AC.KR)께 메일을 통해 문의- 학과사무실 이메일 반드시 참조(eegogo@yonsei.ac.kr)[재입학]면담 요청 및 관련 문의는 학부 주임 교수님(황도식 교수님,DOSIK.HWANG@YONSEI.AC.KR)께 메일을 통해 문의- 학과사무실 이메일 반드시 참조(eegogo@yonsei.ac.kr)[공통 유의 사항]1. 본 절차는 전기전자공학부 전공과목에 한하여 적용되며 공과대학 공통과목 및 교양, 타 학과 과목으로의 대체 인정 처리 방식과는 무관합니다.2.포탈신청 전 과목 승인 가능 여부 확인을 위하여 교수님께 개별적으로 연락하는 것은 금지합니다.3. 학점(과목) 인정의 학부 주임 교수님 승인이 반려된 건에 대하여는 재신청을 받지 않습니다.4. 신청 기간 및 유의사항을 확인하지 않아 발생하는 불이익에 대해서 학과는 책임지지 않습니다.추가 문의사항은 전기전자공학부 사무실(eegogo@yonsei.ac.kr)로 연락 바랍니다."
전기전자공학과,제1회 미래경제포럼 초청 안내,2024.11.08,https://ee.yonsei.ac.kr/ee/community/academic_notice.do?mode=view&articleNo=214737&article.offset=0&articleLimit=10,
전기전자공학과,[장학] 2025학년도 1학기 KC미래장학재단 장학생 모집 안내,2024.11.07,https://ee.yonsei.ac.kr/ee/community/academic_notice.do?mode=view&articleNo=214649&article.offset=0&articleLimit=10,"2025학년도 1학기 KC미래장학재단 장학생 모집 안내가. 추천대상: 공과대학 8명(화공생명공학과, 전기전자공학과, 기계공학과, 신소재공학과, 컴퓨터산업공학과)*최종선발은 공과대학에서 진행함나. 추천조건:1) 학년: 2025년 기준 2,3학년2) 성적: 전체 학년 평량평균 3.0/4.3 이상3) 소득분위가 낮은 학생4) 선발 이후 1학기 이상 재학 가능한 학생다. 장학금액: 등록금 전액+생활비성 장학금 180만원(1년간) / 최대 6학기 지원라. 제출서류:1) 25년도 제출서류양식(붙임파일 2)*지도교수 추천서의 경우 서명 불인정(도장 없는 경우 학과장 직인 찍어도 무방)2) 장학금 수혜확인서(학교포털에서 발급하여 제출)(붙임파일 2, 3페이지도 작성)4) 학자금 지원구간 통지서(한국장학재단에서 학생이 출력)5) 재학증명서 원본(사진촬영본 불가)6) 성적증명서 원본(사진촬영본 불가)7) 가족관계증명서(부 또는 모 명의로 발급, 주민등록번호 뒷자리 제외)8) 건강 장기요양보험료 납부확인서ㄱ) 부모가 각각 납부하는 경우 각각의 납부확인서 모두 제출(2024년도 전 기간)ㄴ) 건강보험공단에서 발급 가능(방문, 전화, 인터넷 모두 가능)9) 지방세 세목별 과세증명서ㄱ) 과세증명서는 과세구분이 분리되어 표기되도록 발급ㄴ) 재산내역이 없어도 반드시 제출ㄷ) 구청, 주민센터, 민원24 통해 발급 가능(부모 증명서 대리발급 시 부모 신분증 및 도장 지참하여 발급 가능)ㄹ) 부모 각각 제출해야함사. 유의사항: 모든 서류는 원본으로 제출아. 제출기한: 11.19(화)까지 원본 서류 행정1팀 김희정 선생님께 제출(2123-5734)"
전기전자공학과,2024 Energy Leaders Summit 개최 안내,2024.11.01,https://ee.yonsei.ac.kr/ee/community/academic_notice.do?mode=view&articleNo=214405&article.offset=0&articleLimit=10,
전기전자공학과,KFAS50 학술 심포지엄,2024.11.01,https://ee.yonsei.ac.kr/ee/community/academic_notice.do?mode=view&articleNo=214386&article.offset=0&articleLimit=10,
전기전자공학과,[대학원 장학] [유한재단] 2024학년도 2학기 유일한 장학생 추천 안내(~10월 28일(월) 12시),2024.10.25,https://ee.yonsei.ac.kr/ee/community/academic_notice.do?mode=view&articleNo=213951&article.offset=0&articleLimit=10,"[유한재단] 2024학년도 2학기 유일한 장학생 추천 안내가. 추천인원: 공과대학 1명나. 추천대상: 학업능력이 우수한 자로서 사회적 취약계층에 속하여 재정지원이 필요한 학생(다문화가정, 한부모가정, 외국인 유학생 등에 우선순위 부여)다. 추천기한:2024년 10월 28일(월) 12시까지 공과대학 행정1팀 장학 담당자 김한빈(제1공학관 N601호)에게원본서류 제출* 기한 엄수, 시간 외 제출 불가라. 장학금액: 학기당 500만원 (1년, 2개 학기)마. 제출서류: 추천서, 학업계획서, 개인정보동의서바. 문의 : 02-2123-2734, orion@yonsei.ac.kr사. 연세대학교 전체 단과대학에서 재단으로 총 2명 추천 예정이므로, 공과대학에서 추천되어도 선정되지 않을 수 있음."
전기전자공학과,[학부 장학] 2024학년도 2학기 DB드림서포트장학생 선발 안내,2024.10.24,https://ee.yonsei.ac.kr/ee/community/academic_notice.do?mode=view&articleNo=213928&article.offset=0&articleLimit=10,"[학부장학] 2024학년도 2학기 DB드림서포트장학생 선발 안내가. 추천대상:공과대학 3명나. 추천조건:1) 학자금 지원구간 2구간 이하2) 전체 평량평균 3.0/4.5 이상(휴학생 제외)3) 학업열의가 높은 학생4) 타 재단 생활비성 장학금을 수혜받지 않는 학생을 추천하는 것을 권장다. 장학금액:생활비성 장학금 250만원라. 제출서류:1) 장학신청서(학생이 DB김준기문화재단 홈페이지에서 온라인 작성 후 출력)2) 추천서(붙임파일, 학과장 또는 지도교수 작성)3) 성적증명서 원본(2024학년도 1학기 포함 전학년 성적, 사진촬영본 X)4) 학자금 지원구간 통지서마. 제출기한:2024년 11월 4일(월) 12시까지 공과대학 행정1팀(제1공학관 N601호) 김희정 선생님에게 원본 제출(02-2123-5734)"
전기전자공학과,[학부] 한국공학한림원 차세대공학리더(YEHS) 선발 안내,2024.10.23,https://ee.yonsei.ac.kr/ee/community/academic_notice.do?mode=view&articleNo=213740&article.offset=0&articleLimit=10,"한국공학한림원 차세대공학리더(YEHS) 선발 안내[지원자격]- 3학년이하 학생- 활동의지가 있는 학생(다양한 프로그램 참여 필요)[제출자료]- 학생명단 서식(붙임파일)- 개인정보수집이용동의서(붙임파일)- 성적증명서[제출일정]- 기한:~2024년 11월 1일(금) 15시까지- 제출처: HJ07@YONSEI.AC.KR추천 학생 중 공과대학에서 최종 3인이 선발될 예정입니다.선발된 학생은 하기 NAEK Forum에 초청받고 공학한림원 회원분들 앞에서 인증서를 받게됩니다.[제276회 NAEK FORUM]- 일 시: 2024. 11. 18(월), 17:00- 장 소: 양재 엘타워 7층 '그랜드홀'- 주 제: 혁신허브 코리아의 전진기지, 창업대학- 연 사: 정형일 (주)주빅 창업자/연세대학교 교수"
전기전자공학과,[학부] 2025-1학기 캠퍼스내 소속변경 전형 안내,2024.10.22,https://ee.yonsei.ac.kr/ee/community/academic_notice.do?mode=view&articleNo=213723&article.offset=0&articleLimit=10,"[2025학년도 1학기 캠퍼스내 소속변경 전형 안내]1. 모집학과◼ 지원가능 현황표에서 확인◼ 일반 학과(전공) 학생의 예・체능계열, 언더우드국제대학 모든 학과, 시스템반도체공학과,디스플레이융합공학과, 의과대학, 치과대학, 간호대학, 약학대학으로의 소속변경은 불허함2. 지원 자격 및 범위◼ 당초입학생에 한하여 지원 가능◼ 제1전공이 승인된 학생(휴학생 지원 가능) 중에서3학기 이상 이수한 2학년 또는 6학기 이수 전인 3학년 재학생 및 휴학생에 한하여 지원 가능※ 3학년(6학기 이수자) 과정을 이수한 재학생이나 휴학생은 지원할 수 없음※ 예·체능계열 입학자 및 시스템반도체공학과, 디스플레이융합공학과 학생은 소속변경 지원 불가함◼ 현 소속학과의 전공과목 중 최소 9학점 이상 이수한 자에 한하여 지원 가능3. 전형 방법1) 1차 심사: 소속학과 전공과목 9학점 이상 이수 여부 및 소속학과·대학의 1차 심사 종합의견 심의2) 2차 심사: 지원 대학·학과에서 서류 심사 후 면접대상자 선정서류 심사 합격자 대상 면접 심사 진행(필요에 따라 실기 및 필기시험 부과)4. 전형 일정1) 신청기간: 2024. 10. 28.(월) ~ 11. 1.(금) 오후 5시2) 신청방법◼ 연세포탈서비스(http://portal.yonsei.ac.kr) 접속 후 로그인◼ 학사정보시스템 → 학사행정 → 학적 → 학생 → 캠퍼스내 소속변경신청◼ 소속변경 신청 화면에서 소속변경 사유 및 학업계획을 작성하고 저장3) 면접대상자 발표: 2024. 11. 14.(목) 오전 10시* 연세포탈서비스 로그인 → 학사행정 → 학적 → 학생 → 캠퍼스내 소속변경신청 메뉴 → 진행상태에서 확인4) 차 면접심사 일정 및 장소: 2024. 11. 19.(화)* 면접 심사는 대면면접을 원칙으로 합니다.* 연세포탈서비스 로그인 → 학사행정 → 학적 → 학생 → 캠퍼스내 소속변경신청 메뉴 → 면접안내정보에서 확인5) 최종 합격자 발표: 2024. 11. 29.(금)* 연세포탈서비스 로그인 → 학사행정 → 학적 → 학생 → 캠퍼스내 소속변경신청 메뉴→ 최종심사결과에서 확인5. 유의사항1) 소속변경에 합격하더라도 학번은 변동되지 않음2) 당초입학생이 아닌 편입생(일반,학사,군위탁), 졸업예정자 복수전공생은 소속변경을 지원할 수 없음3) 소속변경 지원서 접수 후 취소가 불가하여 신중히 지원여부를 결정하여야 함4) 소속변경 합격 후에는 취소가 불가함5) 소속변경 합격자는 전입한 학과에서 지정한 교과과정을 이수하여야 함6) 소속변경생은 최우등·우등졸업 대상에서 제외됨7) 글로벌인재대학으로의 소속변경 관련 세부사항은 학사지원팀으로 문의"
전기전자공학과,[학부] 2024학년도 2학기 학부 수강과목 철회 안내,2024.10.22,https://ee.yonsei.ac.kr/ee/community/academic_notice.do?mode=view&articleNo=213722&article.offset=0&articleLimit=10,"[2024-2학기 학부 수강과목 철회 안내]1. 수강철회 기간:2024. 10. 28.(월) 09:00 ~ 10. 30.(수) 23:592. 수강철회 방법연세포탈서비스(학사정보시스템 → 학사행정 → 수업 → 수강철회신청)에서 학생이 직접 온라인으로 철회 신청3. 유의사항1) 수강과목 철회 후 다른 과목으로 대체 수강신청 할 수 없으며, 수강과목 철회 후에도 신청과목이 최소 1과목 이상이 되어야 함.2) 철회한 과목은 성적평가에서 제외되며, 성적증명서에 기재되지 않음.3) 수강과목을 철회한 학생은 학칙 제43조2항에 의하여 학점초과 신청이나 우등생(최우등생, 우등생, 우수생) 및 최우등졸업생,우등졸업생 대상에서 제외됨.4. 수강철회 후 수강내역 확인 방법가. 학생: 학사정보시스템 → 학사행정 → 수업 → 수강신청내역나. 교수: 학사정보시스템 → 학사행정 → 수업 → 수강현황 → 수강내역조회(교수)"
전기전자공학과,[대학원] 제2공학관 미회수 폐기물 목록 안내 및 마지막 회수기간 안내(10.10 ~ 10.31),2024.10.08,https://ee.yonsei.ac.kr/ee/community/academic_notice.do?mode=view&articleNo=212856&article.offset=10&articleLimit=10,
전기전자공학과,[학부] [DB하이텍/DB글로벌칩] 반도체 인력양성 Course 모집,2024.10.08,https://ee.yonsei.ac.kr/ee/community/academic_notice.do?mode=view&articleNo=212832&article.offset=10&articleLimit=10,
전기전자공학과,[학부] (사) 한국이공학진흥원 IPESK 차세대 공학자 선발 안내(기간연장: ~10월 29일(화) 23:59까지),2024.10.07,https://ee.yonsei.ac.kr/ee/community/academic_notice.do?mode=view&articleNo=212767&article.offset=10&articleLimit=10,"(사) 한국이공학진흥원 IPESK 차세대 공학자 선발 안내※ 한국이공학진흥원은 이공학 인재양성을 위해 최세휴 경북대 공과대학장을 초대 이사장으로,조형희 연세대 교수를 초대 원장으로 하여2024년7월 설립※ 차세대 공학자로 선정된 학생은 대기업 취업설명회 초정, 취업시 우대 등 다양한 혜택 제공을 추진 중가.대상- 공대 재학생 중 전공60학점이상 이수(추천 학기 기준 수강 신청한 학점도 포함),성적 4.5만점에 3.3 이상인 학생나.기한:10월 29일(화) 23:59까지다. 제출서류:성적증명서,신청서(첨부파일 작성),개인정보제공동의서(첨부파일참조)라. 제출방법: 이메일제출(eegogo@yonsei.ac.kr)"
전기전자공학과,[대학원] 전기전자공학부 2025학년도 입학설명회 자료,2024.09.30,https://ee.yonsei.ac.kr/ee/community/academic_notice.do?mode=view&articleNo=212391&article.offset=10&articleLimit=10,9월 30일(월) 12:00에 진행된 전기전자공학부 2025학년도 입학설명회 자료를 안내드립니다.
전기전자공학과,[학부 장학] 2024학년도 2학기 삼공장학재단 장학생 선발 안내 (추천서서식변경),2024.09.27,https://ee.yonsei.ac.kr/ee/community/academic_notice.do?mode=view&articleNo=212291&article.offset=10&articleLimit=10,"2024학년도 2학기 삼공장학재단 장학생 선발 안내가. 추천대상:공과대학생 3명나. 추천인원: 3명다. 자격조건1) 학자금 지원구간 6구간 이하2) 직전학기 12학점 이상 이수 및 백분율 점수 80점 이상*해당 학생 없을 시 백분위 점수 70점 이상 학생 선발 가능라. 장학금액: 등록금 전액마. 제출서류:1) 장학생 추천서(자유양식)2) 장학금 신청서(붙임파일 2)3) 가족관계증명서(보호자 명의로 발급, 상세로 발급)4) 주민등록등본(보호자 명의로 발급, 주민등록번호 뒷자리 미표시)5) 학자금 지원구간통지서6) 성적증명서 원본바. 제출기한: 2024년 10월 4일(금)까지 공과대학 행정1팀 김희정 선생님께 제출(2123-5734)"
전기전자공학과,[대학원] 전기전자공학과 2025학년도 전기 대학원 입학설명회 및 모집 안내,2024.09.26,https://ee.yonsei.ac.kr/ee/community/academic_notice.do?mode=view&articleNo=212180&article.offset=10&articleLimit=10,"전기전자공학과 2025학년도 전기 대학원 입학설명회 및 모집 안내1) 입학설명회:2024. 9. 30.(월) 12:00, 2공학관 B039호2) 원서접수:2024.10.8.(화) 10:00 ~ 10.16.(수) 17:00* 일반대학원 홈페이지(https://graduate.yonsei.ac.kr) 참고하시기 바랍니다."
전기전자공학과,[대학원] 2024-2 대학원 학위논문 예비심사 실시 안내(9월 27일(금) ~ 10월 23일(수) 15:00),2024.09.25,https://ee.yonsei.ac.kr/ee/community/academic_notice.do?mode=view&articleNo=212130&article.offset=10&articleLimit=10,"일반대학원 홈페이지에 게시된 예비심사 일정과 학과에서 안내하는 예비심사 일정은 행정 업무 및 절차 처리상의 사유로 다를수 있음을 안내드리며,학과에서 안내하는예비심사 일정을 숙지하여 주시기 바랍니다.* 예비심사 일정- 예비심사 기간:2024.9.27.(금) ~ 10.23.(수) 15:00- 심사위원장(지도교수) 예비심사 결과 입력(포탈):2024.9.27.(금) ~ 10.23.(수) 15:00- 예비심사보고서 및 비대면 심사 증빙자료 제출:2024.9.27.(금) ~ 10.23.(수) 15:00- 비대면 심사 시행 신청서 제출:논문심사를 진행하는 대학원생 본인의예비심사일 전까지관련하여 자세한 내용 및 서식은 전체 교수님 및 방장님들께 메일로 안내하였습니다."
