department,title,date,link,context
철학과,2024-2학기 문과대생을 위한 창업특강 안내,2024.10.31,https://philosophy.yonsei.ac.kr/cholhak/process/process.do?mode=view&articleNo=214321&article.offset=0&articleLimit=10,"안녕하세요. 철학과 사무실입니다.2024-2학기 문과대생을 위한 창업특강 안내문을 전달 드립니다.문과대생을 위한 창업특강□ 참여대상 : 문과대학 재학생 및 창업에 관심 있는 연세대생 누구나(타단과생 참여 가능)□ 교육일정: 2024년 11월 11일 16시 ~ 20시 / 11월 18일, 25일 17시 ~ 20시※ 특별행사: 2024년 11월 11일 16시 ~ 17시 연세대이준상 창업지원단장의 창업설명회(교수, 교직원, 학생 모두 참여 가능)□ 교육장소: 위당관 6층 백주년기념홀□ 참가자 혜택: 전회차(6회) 참석자 중 우수참여자에게 창업활동 지원금 20만원 지급, 모든 참석자에게 매회 간단한 식사 및 다과 제공□ 문의: 문과대학 인문예술진흥사업단02-2123-7920, humanart@yonsei.ac.kr□ 신청 링크:https://forms.gle/M7hzihszgBgcgVbx5"
철학과,2025학년도 1학기 재입학 전형 안내,2024.10.28,https://philosophy.yonsei.ac.kr/cholhak/process/process.do?mode=view&articleNo=214043&article.offset=0&articleLimit=10,"안녕하세요, 철학과 사무실입니다.2025학년도 1학기 재입학 전형 관련한 안내사항을 전달해드립니다.첨부해드리는 재입학 전형 요강을 참고해주시기 바랍니다.2025학년도 1학기 재입학 전형 요강1재입학 지원 자격대상미등록, 미복학, 성적불량(제적일로부터 2년 경과된 자), 학기초과, 자원퇴학 제적자2모집 단위교육학과, 체육교육학과 및 약학과를 제외한 전 학과 약간 명1) 폐지된 법학과 제적생의 경우 행정학과로의 재입학 신청 가능2) 의과대학, 치과대학, 간호대학 학생은 소속대학 행정팀에 신청 가능 여부를 확인하여야 함3전형 방법1) 1단계: 학사지원팀 심사2) 2단계: 대학별 심의위원회 심사(해당 대학·학과)3) 3단계: 재입학 심의위원회 심사※ 필요에 따라 학과에서 시험을 부과할 수 있음※ 위 심사과정에서 하나라도 불가(不可)이면 재입학이 허가되지 않음4제출 서류학사포탈시스템을 통해 청원서, 서약서, 학업계획서, 학적증명서 제출5전형 일정1) 접수 기간: 2024. 11. 25.(월) ~ 12. 6.(금) 오후 5시2) 접수처: 교무처 학사지원팀(학사포탈 시스템)3) 합격자 발표: 2024. 12. 27.(금)6유의사항1) 재입학 후 첫 학기는 반드시 등록하여야 하며, 일반휴학 할 수 없음2) 재입학 이전의 재학기간, 학사경고 등의 학적사항, 취득학점 및 성적을 통산함- 재입학 전 일반휴학을 모두 활용한 학생은 재입학 후 일반휴학 할 수 없음- 재학연한은 이전 이수학기를 포함하여 12학기(당초입학생 기준)이며 이를 초과하는 경우 학기초과로제적됨. 단, 학기초과로 제적되었던 학생이 재입학하는 경우 제적 전 이수학기를 포함하여최대 16학기(3학년 편입생은 최대 8학기)까지 재학할 수 있음.- 재입학 전 학사경고 사항은 유효하며 횟수를 누적 적용함. 따라서, 성적불량으로 제적되었던 학생이재입학하는 경우 학사경고 1회만 받아도 제적됨3) 재입학은 1회에 한하여 허용함(재입학 합격 후 포기 시 재입학을 다시 할 수 없음)4) 재입학 합격 후 학기 개강 전까지는 계절학기를 수강할 수 없음5) 재입학 후 소속변경 할 수 없음"
철학과,제22회 연문인상 시상식_2024.11.05.(화) _ 오후 6시 _ 문과대학 100주년 기념홀,2024.10.25,https://philosophy.yonsei.ac.kr/cholhak/process/process.do?mode=view&articleNo=213976&article.offset=0&articleLimit=10,"문과대학 동창회에서는 매년 우리 문과대학 동문들 중 자신의 분야에서 훌륭한 업적을 이루고 사회에 이바지함으로써우리 문과대학의 이름을 드높이신 분께 〈연문인상〉을 드리고 있습니다.올해 〈제22회 연문인상〉의 수상자는 다음과 같습니다.- 학술부문:최종철동문(연세대 영어영문학과 명예교수)- 문화예술부문:나희덕동문(시인, 서울과학기술대 문예창작학과 교수)- 사회공헌부문:김준진동문(기업인)많은 분들께서 참석해주시어 자리를 빛내주시면 대단히 감사드리겠습니다.-일시:2024년 11월 5일화요일오후 6시- 장소: 연세대학교 위당관 6층 문과대학 100주년기념홀"
철학과,[철학과] 2025학년도 1학기 캠퍼스내 소속변경 전형 안내,2024.10.16,https://philosophy.yonsei.ac.kr/cholhak/process/process.do?mode=view&articleNo=213349&article.offset=0&articleLimit=10,"안녕하세요. 철학과 사무실입니다.2025학년도 1학기 캠퍼스내 소속변경 전형 일정 및 요강을 안내해 드립니다.지원 자격 및 방법에 대한 자세한 사항은 첨부파일 참고하시기 바랍니다.1. 지원 자격- 당초입학생이면서제1전공 승인된 학생 중,3학기 이상 이수한 2학년, 또는 6학기 이수 전인 3학년 재학생 및 휴학생- 철학과 지원가능 현황: 17~23학번 (20, 21학번 제외)2. 전형 일정1) 신청 기간:2024. 10. 28.(월) ~ 11. 1.(금) 오후 5시(포탈 통해 신청)2) 면접대상자 발표: 2024. 11. 14.(목) 오전 10시3) 2차 면접심사 일정: 24.11.19.(화)4) 최종 합격자 발표: 2024. 11. 29.(금)감사합니다.철학과 사무실 드림."
철학과,[철학과] 2025학년도 교직과정 이수예정자 추가 선발 전형 안내,2024.10.14,https://philosophy.yonsei.ac.kr/cholhak/process/process.do?mode=view&articleNo=213182&article.offset=0&articleLimit=10,"'2025학년도 교직과정 이수예정자 추가 선발 전형 안내문 게시'가. 신청대상: 교직과정 설치학과 학생 중 이수한 학기가 2,3,4 학기인 자(휴학생 포함)대학교직과정 설치학과문과대학중어중문학, 독어독문학, 불어불문학,노어노문학, 철학나. 신청기간:2024. 10. 29.(화) ~ 11. 4.(월)다. 신청방법: 학사포탈 -> 교직메뉴에서 온라인 지원서 작성 및 제출"
철학과,[철학과] 24-2학기 서산철학강좌 안내,2024.10.10,https://philosophy.yonsei.ac.kr/cholhak/process/process.do?mode=view&articleNo=213012&article.offset=0&articleLimit=10,"연세대 철학과 모든 구성원 여러분께안녕하십니까. 철학연구소입니다.연세대학교 철학연구소에서는 매 학기마다 서산 정석해 선생님을 기념하는 강좌인 '서산철학강좌'를 진행하고 있습니다.2024학년도 2학기 서산철학강좌에서는 '헤겔과 현대철학'을 주제로 한 강연들이 예정되어 있습니다.첫 주에는 헤겔을 중심으로 칸트, 피히테, 셸링 등 독일근현대철학 연구에 몰두하셨던 우리 학과의 고(故) 남기호 교수님의 1주기 행사를 마련하였습니다.남기호 교수님의 학문과 삶을 기억하고 추모의 정을 나눌 수 있는 자리가 되기를 바라고 있습니다.연세대 철학과 여러분의 많은 관심과 참여를 부탁드립니다.연세대 철학연구소 드림.2024년도 2학기 서산철학강좌 <헤겔과 현대철학>일시: 10월 31일부터 4주간 매주 목 18:30~20:00장소: 외솔관 110호주최: 연세대학교 철학연구소후원: 연세대학교 인문학연구원, 서산기념사업기금188회: 10월 31일 (목)고(故)남기호 교수 1주기 추모 행사조대호(연세대 철학연구소장), 연효숙(전 한국철학사상연구회 회장), 김원식(국가안보전략연구원 책임연구위원), 마준석(연세대 철학과 석사)189회: 11월 7일 (목)헤겔의 『법철학』과 존 롤스서정혁(숙명여대)190회: 11월 14일 (목)사르트르와 메를로 퐁티의 헤겔 수용김옥경(서강대)191회: 11월 21일 (목)헤겔과 키에르케고르의 예술관이정은(연세대)참가문의: 천주원 yonsei-philosophy@yonsei.ac.kr"
철학과,[철학과] 이승종 교수님의 저서『철학의 길: 대화의 해석학을 향하여』출간 및 북토크 안내,2024.09.30,https://philosophy.yonsei.ac.kr/cholhak/process/process.do?mode=view&articleNo=212399&article.offset=0&articleLimit=10,안녕하세요. 철학과 사무실입니다.이승종 교수님께서 철학과 대학원생 윤유석 씨와 함께 학술대담집 『철학의 길: 대화의 해석학을 향하여』를 출간하셨습니다.아래의 링크들을 참조하세요.https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=345525822https://www.unipress.co.kr/news/articleView.html?idxno=11107이 책을 주제로 한 북토크(Book Talk)를 안내드립니다.■ 일시: 2024. 10. 16.(수) 오전 10:00-12:00■ 장소: 연세대학교 이윤재관 412호
철학과,[한국문학번역원] 2024 디아스포라 문학 예술행사,2024.09.12,https://philosophy.yonsei.ac.kr/cholhak/process/process.do?mode=view&articleNo=210961&article.offset=0&articleLimit=10,"안녕하세요 철학과 사무실입니다. 한국문학번역원 주최 2024 디아스포라 문학 예술 행사에 대해 안내해드립니다.□ 2024 디아스포라 문학 예술행사 개요(목적)- 국내외 디아스포라 문학의 동향, 발전 방안 공유를 통한 디아스포라 문학 관계자 간 네트워크 강화- 예술행사 연계 개최를 통한 국내 독자 대상 디아스포라 문학 인지도 및 접근성 제고ㅇ (기간) 2024. 9. 29.(일) ~ 10. 1.(화) 총 3일ㅇ (장소) 커뮤니티 하우스 마실, 복합문화공간 에무ㅇ (주최) 한국문학번역원ㅇ (주제) 디아스포라: 돌아보고, 내다보며ㅇ (내용) 작가 대담, 씨네 토크, 문학 세미나ㅇ (참석자) 국내외 디아스포라 문화예술 관계자 15인ㅇ (관람료) 무료ㅇ (관람방법) 구글폼을 통한 사전 예약- 사전 예약 기간: 9. 14.(토) ~ 9. 26.(목)- 매진 시 당일 노쇼 좌석에 한해 현장 접수 대기자 선착순 입장※ 오프라인 대면 행사로 진행ㅇ (문의처) 행사 대표메일: lti2024diaspora@gmail.com"
철학과,[성북문화재단] 성북 신문인사 프로젝트,2024.09.12,https://philosophy.yonsei.ac.kr/cholhak/process/process.do?mode=view&articleNo=210959&article.offset=0&articleLimit=10,안녕하세요 철학과 사무실입니다.재단법인 성북문화재단에서는 성북 신문인사 프로젝트 《이태준: 달밤은 그에게도 유감한 듯 하였다》를 통해 과거의 성북 문인들을 재조명하고자 합니다.자제한 내용은 첨부된 포스터를 확인해주시기 바랍니다.
철학과,[대한상공회의소] 2024 DLCA Tech-Tree CON 참가 신청,2024.09.09,https://philosophy.yonsei.ac.kr/cholhak/process/process.do?mode=view&articleNo=210553&article.offset=0&articleLimit=10,
