department,title,date,link,context
화공생명공학과,[대학원] 2024년도 2학기 학위논문 본심사,2024.11.15,https://chemeng.yonsei.ac.kr?c=209&s=209&gp=1&gbn=view&ix=2725,"가. 본심사 시행원칙 : 대면심사 원칙(단, 심사위원 해외체류 등의 사유로 대면심사가 불가능 할 경우 비대면심사 지침에 따라 시행, 붙임1 참조)나. 학위논문 완성본 제출 : 기간 연장 불가1) 온라인 제출: 2025. 1. 2.(목) ~ 2025. 1. 8.(수)2) 인쇄본 제출: 2025. 1. 9.(목) ~ 2025. 1. 15.(수)3) 제출처 : 도서관 (연세삼성 학술정보관 1층 전시실)4) 제출 방법 : http://dcollection.yonsei.ac.kr/submit/process/help* 추후 학위논문 제출 시 반드시 도서관 공지사항을 확인 요망다.[대학원 학위논문에 관한 내규] 제19조(박사학위논문의 공표) 박사학위를 받은 자는 그 받은 날로부터 1년 이내에 박사학위논문을 공표하여야 한다.1) 논문표절로 인한 학위 취소사례 발생 및 연구윤리 강화에 대한 사회적 이슈로 논문표절 검증이 필요합니다. 이에 따라 BK 사업항목중에 하나인‘학위논문의 연구윤리 위반에 따른 제도 강화’의 일환으로 24-1학기 부터 논문표절검사를 필수(의무) 시행하게 되었습니다. 이에 당해 학기 논문심사자의 논문표절검사 결과를 학사포털에 업로드하고 학과 졸업사정 시 표절검사 시행여부를 반드시 반영하시기 바랍니다.(붙임2 공문 참조)2)표절검사 시행현황 미 제출 시 졸업사정 '불가'(유의)"
화공생명공학과,[대학원] 화공생명공학과 규정집(2024년 9월 2일),2024.09.04,https://chemeng.yonsei.ac.kr?c=209&s=209&gp=1&gbn=view&ix=2181,"[대학원] 화공생명공학과 규정집(2024년 9월 2일)[대학원 학칙, 대학원 학칙 관련 내규 및 시행 세칙] https://graduate.yonsei.ac.kr/graduate/academic/statute.do"
화공생명공학과,[대학원] 2024년도 2학기 학위논문 연구계획서 제출 및 논문심사일정 안내,2024.08.05,https://chemeng.yonsei.ac.kr?c=209&s=209&gp=1&gbn=view&ix=2691,"2024년도 2학기 학위논문 연구계획서 제출 및 논문심사일정 안내(상세일정 붙임파일-(학위논문 심사 일정) 2024-2)대학원 학칙 제7장(학위논문) 및 학위논문에 관한 내규에 따라 연구계획서를 작성하여 주시고, 학위논문 체제 검사를 지도교수에게 받은 후에 예비심사 및 본심사에 임하시기 바랍니다.* 오기재 및 제출 자료 미비시 서류 접수 완료되지 않아 학위논문 심사를 진행할 수 없습니다.■ 학위논문 제출 및 심사일정 ■- 학위논문 예비심사, 본심사 음료 수령● 학과사무실(제4공학관 301호)-학과 교수님 우편함 위치● 제1공학관 S606호 내부- 학위논문 연구 계획서● 졸업심사유형: 학위논문● 세부 전공: 미지정● 완료 예정일(석사, 통합(중단)): 2024. 11. 30.● 완료 예정일(박사, 통합): 2025. 11. 30.● 완료 예정일 오기재: 학과 일괄 수정-학위 논문 예비심사, 본심사● 준비 자료: 발표 자료 PPT 파일, 발표 자료 출력분 석사 3부 / 박사ㆍ통합 5부, 이력서, 이력서 증빙 자료, 빔포인터● 발표 방법: 졸업논문 발표 및 질의 응답-학위 논문 예비심사, 본심사 장소 예약(~2024년 9월 13일(금), 오전 9시 30분 까지)● 학과사무실 이메일(chemeng2750@yonsei.ac.kr)로 아래의 내용 작성 이메일 발송(학과에서 장소 예약 후 신청 학생에 예약 문자 발송)● 학과 장소 예약 시기: 수강 신청 변경기간 이후 24. 9. 9.(월) 부터● 작성 양식심사 구분(예비심사, 본심사)과정, 학번, 성명휴대전화번호010-0000-0000지도교수님 성명000 교수님심사 일자2024. 00. 00.(요일)심사 시간(50분)00시 00분 ~ 00시 50분-학위논문 예비심사, 본심사 결과 보고서● 보고서 학과 사무실 미수령, 미제출● 예비심사: 지도 교수 연세포탈 결과 입력● 본심사: 심사위원 전원 개별 연세포탈 결과 입력● 본심사(예심 후 연기): 2024-2학기 이후 졸업 박사ㆍ통합 과정 본심사 결과 연세포탈 지도교수 “예심 후 연기” 입력-연세대학교 일반 대학원 학위논문 작성법(체제)●https://graduate.yonsei.ac.kr/graduate/academic/paper06.do-학위 논문 예비심사, 본심사 외부 심사위원 공문 요청●학과사무실 이메일(chemeng2750@yonsei.ac.kr)로 아래의 내용 작성 이메일 발송 > 학과 공문 작성 후 회신●작성 양식심사 구분(예비심사, 본심사)과정, 학번, 성명휴대전화번호학위논문 제목심사위원 소속, 직위심사위원 성명심사 일자, 심사 장소"
화공생명공학과,"[학부] 면담 신청 시, 유의 사항",2024.01.26,https://chemeng.yonsei.ac.kr?c=209&s=209&gp=1&gbn=view&ix=2562,"화공생명공학과 소속 학부생들은 교수님과 면담 신청 시, 다음과 같은 절차를 지켜주시기를 부탁드립니다.1.본인의지도교수님이 누구인지 확인2. 지도교수님께이메일로 면담 가능 여부/일정 문의※지도교수님이 없을 경우, 학부 주임 교수님께 면담 요청(24학년도 학부 주임 교수님: 김대우 교수님)3.포탈을 통해서지도교수님께면담 신청※포탈상 입력을 진행하지 않을 경우, 학사경고자의 경우 불이익이 있을 수 있습니다.※위의 절차를 따르지 않을 경우, 면담이 어려울 수 있습니다."
화공생명공학과,[학부] 학점인정 신청 관련,2023.08.03,https://chemeng.yonsei.ac.kr?c=209&s=209&gp=1&gbn=view&ix=2393,"<학점인정 신청>1.학점인정 신청 기간: 미정 (본교 홈페이지 참고)2. 학점인정 신청 가능 대상자:1) 학점 인정의 경우, 해외 교환, 유학, 편입, 졸업예정자복수전공에 한하여 가능2) 대체 과목 인정(학점이 없는 과목인정)의 경우, 소속변경과 국내교환학생에 한하여 가능3. 포탈에서 학점인정 신청 시, 주의사항1) 여러 교과목을 하나의 교과목으로 인정받을 때,모든 교과목 명을 작성2) 요구하는 항목에 누락된 정보가 없도록 모두 기재3) 인정받으려는교과목 담당 교수님을 정확하게 지정4) 본교(학사지원팀)에서 요구하는 서류 외에 추가로,해당 교과목의 교수님께서 학점 인정을승인한다는 이메일/문서를 증빙자료로 꼭 첨부"
화공생명공학과,[양식] 출입권한 신청 안내 (날인 요청 전에 꼭 확인 부탁드립니다.),2023.07.26,https://chemeng.yonsei.ac.kr?c=209&s=209&gp=1&gbn=view&ix=2384,"[양식] KT무인통합방범시스템 출입권한 부여 절차 변경 안내2018년 3월 26일(월) 부터KT무인통합방범시스템 출입권한 부여 절차가 변경되어 이를 전합니다.- 주요 변경 내용가. 학과 담당자 확인 후, 신청자가 직접 신청서 출력본을 KT텔레캅 상황실에 방문하여 제출하고 현장에서 처리나. 연구처에서 관리하는 연구공간(산학협동연구관, 첨단과학기술연구관)의 출입권한 부여 분리다. 신청서 양식의 수정 및 통일라. 자세한 내용은 붙임파일의 2nd sheet 참고- 비고:붙임파일의 1st sheet는 신청서 양식이고, 2nd sheet는 작성 및 처리 유의사항입니다. 반드시 유의사항을 숙지하여 주시기 바랍니다.<신청방법>공대,공학원,첨단관,산학협동연구관의 출입권한을 신청하는 경우, 첨부된 양식에건물별로 각각작성 (양식은 동일합니다.)→ 공대 /산학연구관/첨단관은 학과에 날인 요청 (포스코 다리는 학과에서 함께 확인 가능)공학원은 공학원사무국에 날인 요청→   KT텔레캅/산학협동관/첨단관에 제출1) 공대/공학원 출입신청의 경우,KT텔레캅에 제출※KT텔레캅 상황실 위치:  중앙도서관 신관 지하 (중앙도서관 신관 정문에 KT실 안내문 있음) (문의: (내선)3700)2) 산학협동연구관은 (내선)5150 / (이메일)khb0122@yonsei.ac.kr에 제출3) 첨단관은 (내선) 6970 / (이메일)ycrf@yonsei.ac.kr에 제출<공학원 유의사항>※공학원내 호실 출입권한 신청은 공학원 사무국에서 도장 받으셔야 합니다. -포스코 다리 제외(공학원 사무국 위치: 공학원 B109/ 내선번호: 4700)※공학원에 연구실/사용오피스가 없는 경우, 공학원 정문 출입권한 신청이 불가합니다.<학부 인턴 유의사항>※학부생/ 학부 인턴의 경우, 정문 출입권한 부여가 어렵습니다. (호실만 출입 권한 부여 가능)※타대학 학부 인턴의 경우, 최대 6개월까지 연구실 호실에 대한 출입권한 부여가 가능합니다.(체크카드기능이 있는 카드 제시 필요/ 정문 출입권한 부여 불가/ 비고란에 구체적 사유, 정확한 신청 기간 기재)"
화공생명공학과,[동창회] 화공생명공학과 동창회 근조기(하나플랙 010-3255-9103),2023.05.01,https://chemeng.yonsei.ac.kr?c=209&s=209&gp=1&gbn=view&ix=2629,"화공생명공학과 동창회 근조기발송 대행 업체: 하나플랙 010-3255-9103신청 방법: 업체 문자, 카카오톡 신청"
화공생명공학과,"[양식] 시설수리, 폐기요청, 불용신청에 대한 신청 안내",2019.07.17,https://chemeng.yonsei.ac.kr?c=209&s=209&gp=1&gbn=view&ix=1349,"[양식] 시설수리, 폐기요청에 대한 신청 안내각 학과별로 분리하여 신청하던 시설수리 폐기요청 처리를  2018년 9월 17일(월)부터 전자우편으로 일괄접수하고, 교원, 학생 등 공대 구성원들이 보다 편리하고 신속하게 관련 업무를 처리할 수 있도록 하였습니다.첨부된 시설수리 요청 양식을 기입한 후 메일(repair@yonsei.ac.kr)로 신청하시기 바랍니다.※시설수리 요청을 하시는 경우, 꼭 본인 연락처를 함께 기재부탁드립니다. (시설처에서 시설 확인을 위해 연락이 필요한 경우 있음)<시설수리신청서 내용 설명>※ 아래 항목 모두 기입해주세요. (붙임서식)항 항목별 예시는 첨부화일의 전체수리요청내역리스트를 참조하시기 바랍니다.항목기재시 ""ex)예시항목"" 삭제 후 기재1) 수리유형 : ex) 건축, 전기 ...2) 수리구분 : ex) 천장, 벽체, 형광등, 콘센트.....3) 수리내용 : ex) 천장재 교체, 수리 ......4) 건물명 : ex) 제1공학관, 제2공학관 3공학관....5) 층수 및 호실 (호실표기시 호실앞 영문은 반드시 표기해야함)6) 상세내용- 수리대상 및 고장증상 :* 폐기물의 경우 용량 표시- 담당자 및 연락처(교내/ 휴대전화) :▶ 첨부사진이 있는경우 첨부화일명에 층수와 호실을 포함하여 보내주시기 바랍니다.▶ 수리요청처리현황에 대한 문의는 공과대학 행정2팀 담당자(구내 5745)로 해주시기 바랍니다.[양식] 비품반납(불용) 신청 안내1. 노란색 비품스티커가 부착된 학과 구입 자산인 경우, 학과에 붙임 자료를 전달 요청 드립니다. (chemeng2750@yonsei.ac.kr)1) 불용품 및 변동비품 통보서- 물품과 관련한 내용 작성 (신청서 내용과 동일하게 작성)- 담당자 소속, 성명, 전화번호 작성- 매각(부품 포함) 및 재사용 관련 요청부서 의견 (의견 있을 시에만 남겨주세요)2) 비품반납(불용) 신청서3) 각 비품 사진 파일 (ex) 파일명: 비품코드_비품불용신청_화공생명공학과_연구실2. 학과 구입 자산이 아닌, 자체 구입 물품은 자체 처리 요청 드립니다.- 자체 처리 시 업체 연락처: 복천 010-7477-3700[재활용품 및 폐기물 처리 방법]종류처리방법비용처리담당비고소량 폐기물 및 재활용품수시로 건물주변 폐기물집하장으로 배출무상총무팀총무팀에서 비용부담대량 재활용품업체 방문처리무상대량 폐기물업체 방문처리유상방문 처리시 인건비발생(총무팀 협의)공사 폐기물시공업체에서 수거공사비에 포함발주부서공사 폐기물은 총무팀에서 절대 수거하지 않음비품 폐기물불용품처리(공문)유·무상관재팀재활용여부 판단: 관재팀불용품 처리: 총무팀설비공사 폐기물불용품처리(공문)유·무상설비팀재활용여부 판단: 설비팀불용품 처리: 총무팀실험유해 폐기물전문업체에서 수거유·무상안전관리팀환경관리실(내선4801)※음식물 쓰레기- 식당 외 취식금지(건물 내 취식금지)※재활용품 및 폐기물 처리 업체: ㈜복천 연락처 010-7477-3700총무팀 담당 이현수(내선2172)"
화공생명공학과,[학부] 학번별 졸업요건표,2018.05.12,https://chemeng.yonsei.ac.kr?c=209&s=209&gp=1&gbn=view&ix=889,"졸업요건표입니다.첨부파일을 확인해주세요.1. 포탈 상의 오류가 많으니,반드시 성적표 출력하여 졸업요건 충족여부를 확인하시기 바랍니다.(포탈> 졸업사정 > 학점취득현황조회 > 현황표출력, 성적표출력)2. 졸업 요건 문의 전, 본인이 먼저 학점취득현황표와 성적표를 확인할 것을 부탁 드립니다.*꼭, 졸업요건표대로 이수 부탁 드리며, 수업과  졸업 요건 이수 여부는 학생 본인에게 책임이 있음을 안내 드립니다.학과에서는 졸업사정 전까지 ‘졸업 가능 여부'를 100% 확정 지어 말씀드릴 수 없습니다.학과에서 ‘졸업에 문제 없을 것이다.'라고 안내 드리는 경우는 아래 사항을 일단 제하고 문의한 교과목 이수 여부에만 한하여 답변 드리는 것임을 안내드립니다.(필수과목 수강 이후에도, 재수강, 성적, 영어인증 등의 이슈로 졸업이 불가능할 수 있으니, 학생 본인이 졸업요건대로 진행 주셔야 합니다.)*편입생의 경우, 본교(연대)에서 발급 받은 학번 기준으로 졸업요건을 따라주셔야합니다.*글로벌기초교육학부 입학(외국인) 전형의 경우, 첨부된 졸업요건표에서 전공 요건만 따라주셔야 하며, 교양 졸업 요건은 학사지원팀에서 꼭 확인 부탁드립니다.3. 졸업 요건 문의 시,-교양관련 문의는학사지원팀에 확인 요청드립니다.졸업 사정 시, 교양은 학사지원팀에서 담당하기 때문에, 정확한 답변을 들으실 수 있습니다.※ 이 때, 꼭 학부, 이름,  학번을 밝히고 , 문의하는 교과목명(학정번호),본인 학번에 해당하는 대학 요람 내 요건과학과 졸업기준일람표를 함께 첨부-전공관련 문의는학과로 요청드립니다.4.(전공)졸업 요건 변경 안내-10학번~17학번 전공기초선택교과목 중 ‘공학기초설계’의 대체과목으로 ‘화공생명공학입문’을 인정합니다.※'화공생명공학입문'을 ‘공학기초설계’의 재수강과목으로 인정하지 않음※10~17학번 중 공학기초설계를 듣지 않은 초수강자에 한하여 화공생명공학입문을 전공기초선택으로 인정(위의 해당 케이스가 아닌 경우, ‘화공생명공학입문’은  본래 종별인 전공선택으로 분류됩니다.)5.(교양)포탈에서 학점 취득 조회 시,-10학번~17학번 중학과의 요청으로Abeek에서 Nonabeek으로 변경한 경우,필수교양 요건을 모두 충족하였음에도충족하지 않는다고 뜰 수 있습니다.이 경우, 1차로학사지원팀에문의하여 관련 내용을 확인 후에학과 이메일로 전달 주기를 바랍니다.( 문의할 때, 학부, 이름, 학번, abeek에서 nonabeek전환 시기를 밝히고,문의하는 교과목명(학정번호), 본인 학번에 해당하는 대학 요람 내 요건과 학과 졸업기준일람표를 함께 첨부하면 정확한 답변을 신속하게 받을 수 있습니다.)-10학번~17학번 중학과의 요청으로Abeek에서 Nonabeek으로 변경한 경우,abeek기준이었던 공학소양 9학점을 이수하거나, non-abeek기준 교양학점을 이수하는 경우, 졸업 인정될 수 있습니다.둘의 기준이 섞이게 될 경우, 졸업 인정이 불가능할 수 있습니다. (본인이 해당 케이스인지는학사지원팀에 문의하셔야겠습니다.)( 문의할 때, 학부, 이름, 학번, abeek에서 nonabeek전환 시기를 밝히고,문의하는 교과목명(학정번호), 본인 학번에 해당하는 대학 요람 내 요건과 학과 졸업기준일람표를 함께 첨부하면 정확한 답변을 신속하게 받을 수 있습니다.)6.(교양)18학번 이후, 포탈에서 교양 관련 상세내역 볼 때, 다음과 같이 표시되는 부분은 본과의 졸업요건을 따르셨다면, 문제 없습니다.(시스템 보완 완료)졸업요건표대로 ‘1전공 교양 필수이수 지정과목’의 요건을 모두 충족하였음에도,포탈에서 학생이수학점이 미충족으로 표시되는 경우,‘미충족’을 더블클릭하여 다음과 같이 확인 요청 드립니다.팝업되는 상세내역에서  순번3번‘국가와사회, 지역과 세계’부분이같은 항목으로 뜬다면 문제가 없습니다.7.(교양)18학번 이후(Non-ABEEK 이수자 해당) 학생은 필수교양(대학교양) 영역중학과에서 인정해주는 과목(ex.기술 및 제품 마케팅, 기술인적 자원관리, 과학기술과 사회, 테크노리더십, 기술창조와 특허, 경제성공학, 21C기술 경영 등)을 듣게 될 시해당 과목 유의사항에 '공과대학 학생 중 심화과정 이수자만 해당' 이라고 적혀져 있으므로Non-ABEEK 이수자는 이수인정이 되지 않습니다.다른 과목을 수강하시거나 이미 강의를 들은 학생은 추가로 다른 과목 혹은 다른 영역을 이수하시기 바랍니다.※위와 같은 기준이 있기 때문에 이 부분 꼭 지켜주시길 요청 드립니다.※ 22학번부터는 공과대학공통과목 중 대학교양 인정과목 (ex, 과학기술과사회, 기술창조와특허 등)은 대학교양이 아닌 일반선택으로 인정됩니다.※ 각 교과 별로 유의사항에 어떤 종별로 인정 되는지가 기재되어 있으니, 꼭 확인하는 것을 요청 드립니다.8.졸업 사정 시, 졸업종별 카테고리가 변경되는 교과목(졸업 사정 전까지는 변경이 확인되지 않을 수 있습니다.)-(교양)공학물리학및실험(1) / 공학물리학및실험(2)를 수강 시, 공학화학및실험(1) 또는 공학화학및실험(2)는 졸업사정 시 생명과환경 카테고리로 변경됩니다.-(전공)가.특정 대학원 교과목은 대학원-학부 연계 수업으로 수강 시, 일반선택으로 구분되었다가 졸업 사정시, 전공선택으로 변경됩니다.※ ‘화공리더쉽’, '전지모델링', ‘산학연계에너지엔지니어링’에 해당.※ 전공선택학점이 충족요건을 초과할 경우, 전공선택으로 변경할 필요가 없어져, 일반선택으로 유지됩니다.나.연세-아산 유니버시티 사업 참여 학생(1전공: 화공생명공학)에 한하여, 기후기술창업창의설계 (ENG4011)를 전공선택으로 인정 (24.4.1 적용)다. 공학교육혁신센터에서 진행하는 ‘엔지니어현장실습(ENG4010)’을 전공선택 3학점으로 인정합니다. (24.6.19.적용)9. 전공 및 영역 관계 없이 03학번부터 3000단위 이상 과목을 45학점 이상 이수해야 합니다.(03학번 이후 학사편입/졸업예정자복수전공생은 3000~4000단위 이수의무 면제)※해당 내용은 ‘대학요람’에도 기재되어 있는 사항으로 ‘대학요람’에서도 확인이 가능합니다.10. 그 외, 자주 문의하는 내용-2024년도 현재 기준, 학과에서는타학과와 중복/교차 인정하는 전공필수, 전공선택 교과목이 없습니다.-제 1전공이 화공생명공학과인 자가 복수전공 및 연계전공을 할 때, 1전공에 대한 졸업 요건 학점은 줄어들지 않습니다.-제2전공을 화공생명공학과로 신청하는 복수전공의 경우, 복수전공 신청 전에 필수로 선수강해야 하는 과목은 없습니다.-학점 인정의 경우, 해외 교환, 유학, 편입, 졸업예정자복수전공에 한하여 가능합니다.-대체 과목 인정(학점이 없는 과목인정)의 경우, 소속변경과 국내교환학생에 한하여 가능합니다.-일반선택 학점은 졸업요건표에 기재되어있는 학점까지 필수로 충족해야 하는 학점이 아닙니다.교양, 전공 외의 수업을 듣거나 전공의 요건을 모두 만족하고 남은 학점이 일반선택의 학점으로 넘어갑니다.※ 학점총계는 충족하셔야합니다.※ 복수전공을 하는 학생의 경우, 학과에 따라 타전공교과목이 일반선택으로 보입니다.-화공컴퓨터모델링의 경우, 23학번 이후는 전공기초, 이전학번은 전공선택으로 분류됩니다.-각 학번 졸업요건표 리스트에 기재되어 있지 않은 ‘전공선택’교과목이어도, 대학요람에 전공선택으로 분류되어 있는 학과 과목이라면 전공선택으로 인정받을 수 있습니다.※학번별로 필수로 요구하는 부분은 꼭 지키셔야 합니다.-23학번 이후 이수체계도(개설 학기 부문)의 경우, 25학년도 2학기 경에 적용될 예정입니다.(신설 교과목의 경우, 현재부터 적용하나, 개설 학기는 상이할 수 있습니다.)-22학번부터 공학정보처리는 정보와기술 영역으로 인정(22학번 이전까지는 공학정보처리과목은 논리와 수리 영역으로 인정)문의: 02-2123-7779abeek2750@yonsei.ac.kr"
화공생명공학과,"[대학원 양식] 보충과목 이수면제 요청서(타전공출신자 전체 해당), 타전공 과목 이수 승인 요청서",2018.05.09,https://chemeng.yonsei.ac.kr?c=209&s=209&gp=1&gbn=view&ix=885,"[대학원 양식] 보충과목 이수면제 요청서(학부 타전공출신자 전체 해당)타전공 출신 학생들은 대학원 내규에 의해 수료학점 이외에 보충과목 12학점을 추가로 이수하여야 합니다.해당 학생들은 다음과 같은 절차로 보충과목을 이수하여 주시기 바랍니다.- 다 음 -1. 대상자 : 학부 화공생명공학과 졸업 외 타전공자 전원2.대학원 내규대학원학칙 제5장 수 업 제16조(학기당 이수학점)② 타 전공 입학생에 대한 보충과목 이수는 학과내규에 의해 자율적으로 정한다.단, 보충과목의 학점은 12학점을 넘지 못하며, 보충과목을 합하여 한 학기에  12학점을 초과하여 수강할 수 없다.(화공생명공학과 보충과목 이수 학점은 총 12학점입니다)③ 보충과목의 학점은 수료에 필요한 학점에 포함되지 않는다.대학원 내규 및 시행세칙8. 수업 및 학업평가에 관한 내규제3조(보충과목 이수학점) 타 전공자의 보충과목 학점 이수에 관한 사항은 학과 내규로 정하여 자율적으로 운영한다. 단, 보충과목의 이수학점은 12학점 이내로한다. (화공생명공학과 보충과목 이수 학점은 총 12학점입니다)3. 학부 교과 목록 https://chemeng.yonsei.ac.kr/?c=1934. 학과 제출 기간학위논문 예비심사 자료 제출시 스캔 후 PDF 제출5. 문의: 화공생명공학과 사무실 02-2123-2750, chemeng2750@yonsei.ac.kr[대학원 양식] 타전공 과목 이수 승인 요청서□ 화공생명공학과 대학원 내규1. 화공생명공학과 대학원 학생은 학위 취득에 필요한 학점 중 2분의 1 이상을 본 학과에서 개설하는 과목 또는 cross-listing 공동 개설 과목으로 취득해야 하며, 나머지 학점을 지도교수의 승인하에 취득할 수 있다.2. 학과 제출 기간학위논문 예비심사 자료 제출시 스캔 후 PDF 제출3. 문의: 화공생명공학과 사무실 02-2123-2750, chemeng2750@yonsei.ac.kr"
